% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,5709,48,normal
tcp,SF,2113,100,normal
tcp,SF,1866,99,normal
tcp,S1,3489,100,normal
tcp,OTH,3197,84,normal
tcp,SF,2536,100,normal
tcp,SF,4113,100,normal
tcp,OTH,5840,55,normal
tcp,OTH,2838,45,normal
tcp,SF,2404,99,normal
tcp,OTH,4689,31,normal
tcp,OTH,3900,80,normal
tcp,OTH,3302,60,normal
tcp,SF,3157,100,normal
tcp,OTH,3042,48,normal
tcp,OTH,4468,54,normal
tcp,SF,1455,100,normal
tcp,OTH,3524,66,normal
tcp,OTH,2693,56,normal
tcp,SF,1836,100,normal
tcp,SF,2246,100,normal
tcp,SF,709,100,normal
tcp,OTH,2856,74,normal
tcp,S3,3628,100,normal
tcp,SF,1127,100,normal
tcp,SF,2041,100,normal
tcp,SF,3316,100,normal
tcp,SF,2154,98,normal
tcp,S2,2516,100,normal
tcp,OTH,2092,50,normal
tcp,SF,1087,100,normal
tcp,SF,2528,100,normal
tcp,SF,2565,100,normal
tcp,SF,1856,100,normal
tcp,SF,1893,92,normal
tcp,SF,2341,100,normal
tcp,OTH,3197,62,normal
tcp,SF,3875,100,normal
tcp,OTH,5764,45,normal
tcp,SF,2263,100,normal
tcp,OTH,2986,53,normal
tcp,SF,2846,77,normal
tcp,OTH,5961,45,normal
tcp,SF,2541,100,normal
tcp,OTH,3024,19,normal
tcp,SF,1893,50,normal
tcp,SF,3341,100,normal
tcp,OTH,3579,67,normal
tcp,OTH,2456,86,normal
tcp,SF,3905,100,normal
tcp,SF,1992,100,normal
tcp,SF,2224,100,normal
tcp,SF,1873,100,normal
tcp,OTH,3515,46,normal
tcp,OTH,3639,85,normal
tcp,OTH,5435,98,normal
tcp,SF,3854,75,normal
tcp,SF,4472,55,normal
tcp,OTH,2947,48,normal
tcp,SF,3081,90,normal
tcp,SF,797,100,normal
tcp,SF,2057,86,normal
tcp,OTH,3936,68,normal
tcp,OTH,4908,61,normal
tcp,SF,1462,100,normal
tcp,SF,351,100,normal
tcp,SF,1971,100,normal
tcp,OTH,1452,52,normal
tcp,OTH,3258,31,normal
tcp,SF,1848,100,normal
tcp,OTH,3113,37,normal
tcp,OTH,2881,25,normal
tcp,OTH,3082,33,normal
tcp,OTH,2780,44,normal
tcp,SF,1189,100,normal
tcp,S3,2951,100,normal
tcp,OTH,3218,41,normal
tcp,SF,1991,100,normal
tcp,SF,2389,100,normal
tcp,OTH,5043,45,normal
tcp,RSTR,1896,100,normal
tcp,OTH,3005,73,normal
tcp,OTH,3814,41,normal
tcp,OTH,3536,35,normal
tcp,S1,2348,100,normal
tcp,SF,2104,100,normal
tcp,SF,2118,100,normal
tcp,OTH,2767,42,normal
tcp,SF,3883,100,normal
tcp,OTH,3262,47,normal
tcp,SF,3006,74,normal
tcp,SF,1944,100,normal
tcp,OTH,3140,49,normal
tcp,SF,3890,100,normal
tcp,SF,3387,100,normal
tcp,SF,3859,100,normal
tcp,OTH,4954,57,normal
tcp,OTH,2433,39,normal
tcp,OTH,3349,53,normal
tcp,S3,2191,100,normal
tcp,S3,3094,100,normal
tcp,SF,2276,100,normal
tcp,S3,1969,100,normal
tcp,SF,2082,100,normal
tcp,OTH,2855,50,normal
tcp,SF,2126,100,normal
tcp,OTH,5272,92,normal
tcp,SF,2265,100,normal
tcp,SF,3170,100,normal
tcp,OTH,3542,48,normal
tcp,OTH,4848,48,normal
tcp,OTH,3518,46,normal
tcp,SF,2274,100,normal
tcp,SF,2761,52,normal
tcp,SF,2049,100,normal
tcp,SF,1983,100,normal
tcp,OTH,5904,40,normal
tcp,OTH,3291,68,normal
tcp,SF,2194,100,normal
tcp,SF,3876,100,normal
tcp,SF,1945,100,normal
tcp,OTH,3312,47,normal
tcp,SF,3347,96,normal
tcp,OTH,5385,98,normal
tcp,OTH,5181,22,normal
tcp,SF,2524,99,normal
tcp,SF,3367,100,normal
tcp,SF,2067,100,normal
tcp,OTH,2857,37,normal
tcp,SF,2206,100,normal
tcp,SF,1953,93,normal
tcp,OTH,5234,65,normal
tcp,OTH,5744,59,normal
tcp,SF,2008,100,normal
tcp,SF,0,0,normal
tcp,OTH,308,33,normal
tcp,OTH,230,13,normal
tcp,OTH,37,37,normal
tcp,OTH,2,20,normal
tcp,SF,0,0,normal
tcp,OTH,317,35,normal
tcp,SF,1,1,normal
tcp,SF,3,3,normal
tcp,SF,0,0,normal
tcp,OTH,8,16,normal
tcp,OTH,92,34,normal
tcp,OTH,1,1,normal
tcp,OTH,21,21,normal
tcp,OTH,22,22,normal
tcp,OTH,1,1,normal
tcp,OTH,91,18,normal
tcp,OTH,226,29,normal
tcp,OTH,323,35,normal
tcp,OTH,16,16,normal
tcp,OTH,45,36,normal
tcp,OTH,11,11,normal
tcp,OTH,262,49,normal
tcp,OTH,10,27,normal
tcp,OTH,17,19,normal
tcp,OTH,10,9,normal
tcp,OTH,118,33,normal
tcp,RSTR,0,0,normal
tcp,OTH,68,37,normal
tcp,OTH,6,29,normal
tcp,OTH,4,4,normal
tcp,SF,0,0,normal
tcp,OTH,416,47,normal
tcp,OTH,60,34,normal
tcp,OTH,284,49,normal
tcp,RSTO,1,0,normal
tcp,RSTO,11,1,normal
tcp,OTH,1,3,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,2,normal
tcp,OTH,78,13,normal
tcp,SF,0,0,normal
tcp,OTH,37,37,normal
tcp,OTH,1,1,normal
tcp,OTH,79,13,normal
tcp,SF,0,2,normal
tcp,OTH,282,43,normal
tcp,OTH,5,36,normal
tcp,OTH,25,25,normal
tcp,OTH,0,29,normal
tcp,SF,1,12,normal
tcp,OTH,120,35,normal
tcp,RSTO,3,3,normal
tcp,OTH,32,32,normal
tcp,OTH,139,33,normal
tcp,OTH,85,30,normal
tcp,SF,0,0,normal
tcp,OTH,9,25,normal
tcp,OTH,476,49,normal
tcp,OTH,116,29,normal
tcp,RSTO,1,1,normal
tcp,SF,0,0,normal
tcp,OTH,0,7,normal
tcp,OTH,92,29,normal
tcp,OTH,72,33,normal
tcp,OTH,132,34,normal
tcp,OTH,144,32,normal
tcp,OTH,308,32,normal
tcp,OTH,131,33,normal
tcp,OTH,151,29,normal
tcp,OTH,276,32,normal
tcp,OTH,6,6,normal
tcp,OTH,0,0,normal
tcp,OTH,22,27,normal
tcp,OTH,26,26,normal
tcp,OTH,3,3,normal
tcp,OTH,3,3,normal
tcp,OTH,184,37,normal
tcp,SF,0,0,normal
tcp,OTH,167,21,normal
tcp,OTH,60,37,normal
tcp,OTH,235,48,normal
tcp,OTH,289,33,normal
tcp,OTH,4,9,normal
tcp,OTH,109,34,normal
tcp,OTH,309,42,normal
tcp,OTH,126,19,normal
tcp,OTH,70,43,normal
tcp,OTH,7,5,normal
tcp,OTH,246,27,normal
tcp,OTH,188,36,normal
tcp,OTH,317,44,normal
tcp,SF,3,3,normal
tcp,OTH,134,13,normal
tcp,OTH,93,22,normal
tcp,OTH,8,26,normal
tcp,S1,3,3,normal
tcp,OTH,228,29,normal
tcp,OTH,25,25,normal
tcp,OTH,136,33,normal
tcp,OTH,95,29,normal
tcp,OTH,324,33,normal
tcp,OTH,185,34,normal
tcp,OTH,288,49,normal
tcp,OTH,262,36,normal
tcp,OTH,30,30,normal
tcp,OTH,9,9,normal
tcp,OTH,183,42,normal
tcp,OTH,1,1,normal
tcp,OTH,58,37,normal
tcp,SF,0,0,normal
tcp,OTH,9,14,normal
tcp,OTH,5,5,normal
tcp,S2,5,3,normal
tcp,OTH,32,32,normal
tcp,OTH,446,49,normal
tcp,OTH,65,34,normal
tcp,S1,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,310,31,normal
tcp,OTH,439,48,normal
tcp,OTH,2,2,normal
tcp,OTH,209,31,normal
tcp,OTH,159,15,normal
tcp,OTH,310,31,normal
tcp,SF,0,9,normal
tcp,OTH,1,11,normal
tcp,OTH,217,41,normal
tcp,OTH,47,35,normal
tcp,OTH,40,28,normal
tcp,OTH,109,12,normal
tcp,OTH,9,9,normal
tcp,OTH,176,30,normal
tcp,OTH,6,8,normal
tcp,OTH,311,35,normal
tcp,SF,0,1,normal
tcp,OTH,160,41,normal
