% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
OTH,78,0,4109,4109,tcpFlood
OTH,78,0,1105,1105,tcpFlood
OTH,78,0,828,828,tcpFlood
OTH,78,0,5919,5919,tcpFlood
OTH,78,0,3504,3504,tcpFlood
OTH,78,0,1539,1539,tcpFlood
OTH,78,0,2637,2637,tcpFlood
OTH,78,0,333,333,tcpFlood
OTH,78,0,165,165,tcpFlood
OTH,78,0,3396,3396,tcpFlood
OTH,78,0,2482,2482,tcpFlood
OTH,78,0,6032,6032,tcpFlood
OTH,78,0,5589,5589,tcpFlood
OTH,78,0,3297,3297,tcpFlood
OTH,78,0,1325,1325,tcpFlood
OTH,78,0,6277,6277,tcpFlood
OTH,78,0,2384,2384,tcpFlood
OTH,78,0,848,848,tcpFlood
OTH,78,0,2690,2690,tcpFlood
OTH,78,0,4386,4386,tcpFlood
OTH,78,0,4908,4908,tcpFlood
OTH,78,0,6309,6309,tcpFlood
OTH,78,0,5888,5888,tcpFlood
OTH,78,0,3114,3114,tcpFlood
OTH,78,0,225,225,tcpFlood
OTH,78,0,6230,6230,tcpFlood
OTH,78,0,2617,2617,tcpFlood
OTH,78,0,3295,3295,tcpFlood
OTH,78,0,291,291,tcpFlood
OTH,78,0,3484,3484,tcpFlood
OTH,78,0,5337,5337,tcpFlood
OTH,78,0,85,85,tcpFlood
OTH,78,0,393,393,tcpFlood
OTH,78,0,2125,2125,tcpFlood
OTH,78,0,3204,3204,tcpFlood
OTH,78,0,5327,5327,tcpFlood
OTH,78,0,4704,4704,tcpFlood
OTH,78,0,6313,6313,tcpFlood
OTH,78,0,3646,3646,tcpFlood
OTH,78,0,1197,1197,tcpFlood
OTH,78,0,1775,1775,tcpFlood
OTH,78,0,1427,1427,tcpFlood
OTH,78,0,3438,3438,tcpFlood
OTH,78,0,5129,5129,tcpFlood
OTH,78,0,5810,5810,tcpFlood
OTH,78,0,2708,2708,tcpFlood
OTH,78,0,2436,2436,tcpFlood
OTH,78,0,992,992,tcpFlood
OTH,78,0,105,105,tcpFlood
OTH,78,0,1549,1549,tcpFlood
OTH,78,0,5496,5496,tcpFlood
OTH,78,0,5030,5030,tcpFlood
OTH,78,0,608,608,tcpFlood
OTH,78,0,1384,1384,tcpFlood
OTH,78,0,2605,2605,tcpFlood
OTH,78,0,759,759,tcpFlood
OTH,78,0,4419,4419,tcpFlood
OTH,78,0,4216,4216,tcpFlood
OTH,78,0,3520,3520,tcpFlood
OTH,78,0,2364,2364,tcpFlood
OTH,78,0,3077,3077,tcpFlood
OTH,78,0,6321,6321,tcpFlood
OTH,78,0,816,816,tcpFlood
OTH,78,0,2977,2977,tcpFlood
OTH,78,0,3836,3836,tcpFlood
OTH,78,0,2372,2372,tcpFlood
OTH,78,0,5012,5012,tcpFlood
OTH,78,0,2653,2653,tcpFlood
OTH,78,0,3340,3340,tcpFlood
OTH,78,0,4547,4547,tcpFlood
OTH,78,0,4432,4432,tcpFlood
OTH,78,0,64,64,tcpFlood
OTH,78,0,4055,4055,tcpFlood
OTH,78,0,6195,6195,tcpFlood
OTH,78,0,4348,4348,tcpFlood
OTH,78,0,3647,3647,tcpFlood
OTH,78,0,5211,5211,tcpFlood
OTH,78,0,4891,4891,tcpFlood
OTH,78,0,2102,2102,tcpFlood
OTH,78,0,3427,3427,tcpFlood
OTH,78,0,5399,5399,tcpFlood
OTH,78,0,3726,3726,tcpFlood
OTH,78,0,2980,2980,tcpFlood
OTH,78,0,4944,4944,tcpFlood
OTH,78,0,3500,3500,tcpFlood
OTH,78,0,1305,1305,tcpFlood
OTH,78,0,5035,5035,tcpFlood
OTH,78,0,1841,1841,tcpFlood
OTH,78,0,1392,1392,tcpFlood
OTH,78,0,4379,4379,tcpFlood
OTH,78,0,1983,1983,tcpFlood
OTH,78,0,4567,4567,tcpFlood
OTH,78,0,3799,3799,tcpFlood
OTH,78,0,5358,5358,tcpFlood
OTH,78,0,5268,5268,tcpFlood
OTH,78,0,2904,2904,tcpFlood
OTH,78,0,4172,4172,tcpFlood
OTH,78,0,1075,1075,tcpFlood
OTH,78,0,6178,6178,tcpFlood
OTH,78,0,1375,1375,tcpFlood
OTH,78,0,1435,1435,tcpFlood
OTH,78,0,960,960,tcpFlood
OTH,78,0,1929,1929,tcpFlood
OTH,78,0,770,770,tcpFlood
OTH,78,0,5997,5997,tcpFlood
OTH,78,0,5321,5321,tcpFlood
OTH,78,0,3336,3336,tcpFlood
OTH,78,0,2751,2751,tcpFlood
OTH,78,0,1814,1814,tcpFlood
OTH,78,0,1812,1812,tcpFlood
OTH,78,0,4460,4460,tcpFlood
OTH,78,0,1271,1271,tcpFlood
OTH,78,0,4942,4942,tcpFlood
OTH,78,0,539,539,tcpFlood
OTH,78,0,4976,4976,tcpFlood
OTH,78,0,4678,4678,tcpFlood
OTH,78,0,431,431,tcpFlood
OTH,78,0,4717,4717,tcpFlood
OTH,78,0,4735,4735,tcpFlood
OTH,78,0,978,978,tcpFlood
OTH,78,0,4339,4339,tcpFlood
OTH,78,0,2357,2357,tcpFlood
OTH,78,0,4851,4851,tcpFlood
OTH,78,0,2748,2748,tcpFlood
OTH,78,0,677,677,tcpFlood
OTH,78,0,1874,1874,tcpFlood
OTH,78,0,5514,5514,tcpFlood
OTH,78,0,786,786,tcpFlood
OTH,78,0,3869,3869,tcpFlood
OTH,78,0,2050,2050,tcpFlood
OTH,78,0,6070,6070,tcpFlood
OTH,78,0,1158,1158,tcpFlood
OTH,78,0,5025,5025,tcpFlood
OTH,78,0,6006,6006,tcpFlood
OTH,78,0,1255,1255,tcpFlood
OTH,78,0,504,504,tcpFlood
OTH,78,0,472,472,tcpFlood
OTH,78,0,6002,6002,tcpFlood
OTH,78,0,1118,1118,tcpFlood
OTH,78,0,3609,3609,tcpFlood
OTH,78,0,24,24,tcpFlood
OTH,78,0,4760,4760,tcpFlood
OTH,78,0,1365,1365,tcpFlood
OTH,78,0,3727,3727,tcpFlood
OTH,78,0,5400,5400,tcpFlood
OTH,78,0,4145,4145,tcpFlood
OTH,78,0,5369,5369,tcpFlood
OTH,78,0,999,999,tcpFlood
OTH,78,0,758,758,tcpFlood
OTH,78,0,3386,3386,tcpFlood
OTH,78,0,1982,1982,tcpFlood
OTH,78,0,5433,5433,tcpFlood
OTH,78,0,2296,2296,tcpFlood
OTH,78,0,4758,4758,tcpFlood
OTH,78,0,1430,1430,tcpFlood
OTH,78,0,2270,2270,tcpFlood
OTH,78,0,6062,6062,tcpFlood
OTH,78,0,2843,2843,tcpFlood
OTH,78,0,1217,1217,tcpFlood
OTH,78,0,3622,3622,tcpFlood
OTH,78,0,6219,6219,tcpFlood
OTH,78,0,1468,1468,tcpFlood
OTH,78,0,5779,5779,tcpFlood
OTH,78,0,2793,2793,tcpFlood
OTH,78,0,1161,1161,tcpFlood
OTH,78,0,6183,6183,tcpFlood
OTH,78,0,2330,2330,tcpFlood
OTH,78,0,498,498,tcpFlood
OTH,78,0,654,654,tcpFlood
OTH,78,0,1327,1327,tcpFlood
OTH,78,0,2761,2761,tcpFlood
OTH,78,0,3926,3926,tcpFlood
OTH,78,0,2518,2518,tcpFlood
OTH,78,0,3963,3963,tcpFlood
OTH,78,0,809,809,tcpFlood
OTH,78,0,4093,4093,tcpFlood
OTH,78,0,1170,1170,tcpFlood
OTH,78,0,4269,4269,tcpFlood
OTH,78,0,4531,4531,tcpFlood
OTH,78,0,4358,4358,tcpFlood
OTH,78,0,3686,3686,tcpFlood
OTH,78,0,5456,5456,tcpFlood
OTH,78,0,75,75,tcpFlood
OTH,78,0,3716,3716,tcpFlood
OTH,78,0,4421,4421,tcpFlood
OTH,78,0,5920,5920,tcpFlood
OTH,78,0,4837,4837,tcpFlood
OTH,78,0,617,617,tcpFlood
OTH,78,0,2780,2780,tcpFlood
OTH,78,0,5102,5102,tcpFlood
OTH,78,0,6280,6280,tcpFlood
OTH,78,0,3082,3082,tcpFlood
OTH,78,0,2623,2623,tcpFlood
OTH,78,0,1886,1886,tcpFlood
OTH,78,0,4126,4126,tcpFlood
OTH,78,0,356,356,tcpFlood
OTH,78,0,5933,5933,tcpFlood
OTH,78,0,1068,1068,tcpFlood
OTH,78,0,5661,5661,tcpFlood
OTH,78,0,5973,5973,tcpFlood
OTH,78,0,1575,1575,tcpFlood
OTH,78,0,683,683,tcpFlood
OTH,78,0,5207,5207,tcpFlood
OTH,78,0,672,672,tcpFlood
OTH,78,0,4925,4925,tcpFlood
OTH,78,0,592,592,tcpFlood
OTH,78,0,5701,5701,tcpFlood
OTH,78,0,5226,5226,tcpFlood
OTH,78,0,3290,3290,tcpFlood
OTH,78,0,5388,5388,tcpFlood
OTH,78,0,2458,2458,tcpFlood
OTH,78,0,3989,3989,tcpFlood
OTH,78,0,1991,1991,tcpFlood
OTH,78,0,5645,5645,tcpFlood
OTH,78,0,3111,3111,tcpFlood
OTH,78,0,3080,3080,tcpFlood
OTH,78,0,2084,2084,tcpFlood
OTH,78,0,2958,2958,tcpFlood
OTH,78,0,2012,2012,tcpFlood
OTH,78,0,5766,5766,tcpFlood
