% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,66,118,46,29,0,httpFlood
tcp,OTH,66,56,46,46,0,httpFlood
tcp,RSTO,446,624,100,100,0,httpFlood
tcp,OTH,60,137,33,33,0,httpFlood
tcp,S3,374,160,100,100,0,httpFlood
tcp,S3,374,67,67,67,0,httpFlood
tcp,OTH,60,170,33,33,0,httpFlood
tcp,S1,242,171,100,100,0,httpFlood
tcp,S3,374,33,33,33,0,httpFlood
tcp,OTH,60,179,33,33,0,httpFlood
tcp,S3,374,139,100,100,0,httpFlood
tcp,RSTO,446,545,100,100,0,httpFlood
tcp,S1,245,1044,100,100,0,httpFlood
tcp,RSTO,446,457,100,100,0,httpFlood
tcp,OTH,60,117,33,33,0,httpFlood
tcp,S3,374,154,100,100,0,httpFlood
tcp,OTH,66,135,50,38,0,httpFlood
tcp,S3,374,151,100,100,0,httpFlood
tcp,RSTO,446,341,100,100,0,httpFlood
tcp,RSTO,446,626,100,100,0,httpFlood
tcp,RSTO,446,390,100,100,0,httpFlood
tcp,S3,374,81,81,81,0,httpFlood
tcp,RSTO,446,473,100,100,0,httpFlood
tcp,OTH,66,151,100,100,0,httpFlood
tcp,S3,374,161,100,100,0,httpFlood
tcp,S3,380,869,100,100,0,httpFlood
tcp,RSTO,446,699,100,100,0,httpFlood
