% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8,19,21,27-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
4,RSTO,446,589,1,0,highrate
0,S3,374,149,1,0,highrate
0,S3,374,139,1,0,highrate
4,RSTO,446,484,1,0,highrate
1,S3,374,150,1,0,highrate
2,RSTO,446,695,1,0,highrate
0,OTH,60,136,1,0.97,highrate
0,OTH,60,125,1,0.97,highrate
0,S3,374,3,1,0,highrate
0,S3,377,363,0.69,0,highrate
4,RSTO,446,522,1,0,highrate
4,RSTO,446,501,1,0,highrate
0,S3,377,431,1,0,highrate
6,RSTO,446,359,1,0,highrate
0,S3,374,103,1,0,highrate
1,S3,374,155,1,0,highrate
0,OTH,60,136,1,0.97,highrate
1,S3,374,128,1,0,highrate
1,S3,377,441,1,0,highrate
0,S3,374,106,1,0,highrate
0,OTH,60,94,1,0.98,highrate
0,S3,374,137,1,0,highrate
0,OTH,60,176,1,0.97,highrate
0,OTH,60,177,1,0.97,highrate
0,OTH,66,145,1,0,highrate
0,S3,374,120,1,0,highrate
1,S3,392,764,1,0,highrate
0,S3,374,118,1,0,highrate
0,S3,377,820,1,0,highrate
0,S3,377,540,1,0,highrate
0,OTH,66,279,1,0,highrate
0,S3,374,167,1,0,highrate
0,S3,374,298,1,0,highrate
0,S3,380,898,1,0,highrate
0,S3,374,65,1,0,highrate
0,S3,374,75,1,0,highrate
0,OTH,66,16,1,0,highrate
0,S3,374,147,1,0,highrate
0,OTH,60,115,1,0.97,highrate
0,S3,377,874,1,0,highrate
1,S3,374,147,1,0,highrate
0,S3,374,97,1,0,highrate
0,S3,374,70,1,0,highrate
0,OTH,60,136,1,0.97,highrate
0,S3,377,323,0.26,0,highrate
2,RSTO,446,740,1,0,highrate
0,S3,374,149,1,0,highrate
0,S3,377,1020,1,0,highrate
0,S3,374,133,1,0,highrate
0,S3,374,151,1,0,highrate
0,S3,374,15,1,0,highrate
0,S3,377,1006,1,0,highrate
0,S3,377,715,1,0,highrate
0,S3,377,772,1,0,highrate
1,S3,374,147,1,0,highrate
0,OTH,66,94,1,0.02,highrate
0,S3,374,153,1,0,highrate
0,OTH,60,4,1,0.8,highrate
0,S1,242,449,1,0,highrate
0,OTH,60,9,1,0.9,highrate
0,S3,374,159,1,0,highrate
6,RSTO,446,413,1,0,highrate
0,S3,377,673,1,0,highrate
0,OTH,60,107,1,0.97,highrate
0,OTH,66,73,1,0,highrate
0,OTH,60,130,1,0.97,highrate
1,S3,377,749,1,0,highrate
