% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,78,5515,5515,0,81,81,normal
tcp,SF,946,1939,1939,0,100,100,normal
tcp,OTH,66,3286,3286,0,69,69,normal
tcp,SF,946,3042,3042,0,88,88,normal
tcp,OTH,66,3483,3483,0,60,60,normal
tcp,OTH,66,3201,3201,0,49,49,normal
tcp,OTH,78,4813,4813,0,44,44,normal
tcp,OTH,146,2521,2521,0,44,44,normal
tcp,OTH,66,2494,2494,0,34,34,normal
tcp,SF,946,2222,2222,0,100,100,normal
tcp,OTH,146,2618,2618,0,41,41,normal
tcp,SF,1120,2613,2613,0,100,100,normal
tcp,OTH,66,4192,4192,0,45,45,normal
tcp,SF,946,2225,2225,0,100,100,normal
tcp,S1,74,2830,2830,0,100,100,normal
tcp,SF,946,2515,2515,0,94,94,normal
tcp,SF,946,3521,3521,0,100,100,normal
tcp,SF,946,1525,1525,0,100,100,normal
tcp,SF,946,2222,2222,0,100,100,normal
tcp,SF,880,2201,2201,0,100,100,normal
tcp,SF,946,2228,2228,0,100,100,normal
tcp,OTH,66,2903,2903,0,49,49,normal
tcp,SF,946,1899,1899,0,100,100,normal
tcp,SF,946,4252,4252,0,73,73,normal
tcp,SF,946,2155,2155,0,98,98,normal
tcp,SF,946,3998,3998,0,95,95,normal
tcp,SF,946,1140,1140,0,100,100,normal
tcp,SF,1024,2725,2725,0,72,72,normal
tcp,SF,946,2012,2012,0,100,100,normal
tcp,OTH,66,2883,2883,0,45,45,normal
tcp,SF,946,4468,4468,0,55,55,normal
tcp,OTH,66,3848,3848,0,44,44,normal
tcp,OTH,66,3031,3031,0,58,58,normal
tcp,SF,946,2250,2250,0,100,100,normal
tcp,SF,946,3348,3348,0,96,96,normal
tcp,OTH,66,3393,3393,0,42,42,normal
tcp,OTH,66,4874,4874,0,57,57,normal
tcp,OTH,66,4042,4042,0,44,44,normal
tcp,SF,946,2062,2062,0,100,100,normal
tcp,SF,946,3916,3916,0,69,69,normal
tcp,SF,946,2157,2157,0,100,100,normal
tcp,SF,946,2853,2853,0,63,63,normal
tcp,OTH,66,6211,6211,0,52,52,normal
tcp,OTH,66,3146,3146,0,41,41,normal
tcp,S1,286,1611,1611,0,100,100,normal
tcp,SF,946,2026,2026,0,100,100,normal
tcp,OTH,66,3299,3299,0,36,36,normal
tcp,SF,946,2189,2189,0,41,41,normal
tcp,OTH,66,2953,2953,0,38,38,normal
tcp,SF,946,1827,1827,0,100,100,normal
tcp,SF,946,1931,1931,0,100,100,normal
tcp,SF,946,2050,2050,0,100,100,normal
tcp,SF,946,2130,2130,0,100,100,normal
tcp,OTH,66,3343,3343,0,49,49,normal
tcp,SF,1012,2040,2040,0,100,100,normal
tcp,OTH,66,2726,2726,0,42,42,normal
tcp,SF,946,1940,1940,0,100,100,normal
tcp,OTH,66,4974,4974,0,28,28,normal
tcp,SF,946,2390,2390,0,98,98,normal
tcp,OTH,66,3393,3393,0,52,52,normal
tcp,OTH,66,2830,2830,0,45,45,normal
tcp,SF,946,1851,1851,0,100,100,normal
tcp,SF,946,2071,2071,0,100,100,normal
tcp,SF,1078,1182,1182,0,100,100,normal
tcp,OTH,66,6119,6119,0,38,38,normal
tcp,SF,946,2044,2044,0,100,100,normal
tcp,OTH,66,3883,3883,0,70,70,normal
tcp,OTH,78,4238,4238,0,95,95,normal
tcp,OTH,66,4992,4992,0,40,40,normal
tcp,OTH,66,4886,4886,0,52,52,normal
tcp,S1,286,2736,2736,0,100,100,normal
tcp,OTH,66,3954,3954,0,58,58,normal
tcp,SF,1024,3299,3299,0,75,75,normal
tcp,SF,1120,2254,2254,0,100,100,normal
tcp,SF,880,2311,2311,0,100,100,normal
