@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,3193,0,46,normal
tcp,OTH,6027,0,40,normal
tcp,SF,2300,0,100,normal
tcp,SF,3162,0,100,normal
tcp,SF,2217,0,100,normal
tcp,OTH,3785,0,45,normal
tcp,SF,2519,0,100,normal
tcp,SF,3044,0,79,normal
tcp,OTH,3564,0,54,normal
tcp,SF,2033,0,100,normal
tcp,S3,3514,0,100,normal
tcp,S3,3199,0,100,normal
tcp,OTH,5719,0,52,normal
tcp,SF,1469,0,100,normal
tcp,OTH,2814,0,66,normal
tcp,OTH,6244,0,47,normal
tcp,SF,2116,0,100,normal
tcp,OTH,3294,0,44,normal
tcp,OTH,3019,0,40,normal
tcp,SF,3892,0,100,normal
tcp,OTH,4871,0,54,normal
tcp,SF,5787,0,55,normal
tcp,SF,1239,0,100,normal
tcp,OTH,4783,0,41,normal
tcp,SF,2046,0,100,normal
tcp,OTH,5312,0,70,normal
tcp,SF,2560,0,100,normal
tcp,SF,1731,0,100,normal
tcp,SF,4033,0,100,normal
tcp,SF,266,0,100,normal
tcp,SF,2277,0,100,normal
tcp,OTH,3172,0,49,normal
tcp,SF,3064,0,82,normal
tcp,SF,2224,0,100,normal
tcp,SF,1533,0,95,normal
tcp,SF,2234,0,100,normal
tcp,SF,3329,0,92,normal
tcp,SF,1742,0,100,normal
tcp,OTH,4118,0,65,normal
tcp,OTH,4621,0,42,normal
tcp,OTH,3830,0,41,normal
tcp,SF,2078,0,88,normal
tcp,OTH,4139,0,88,normal
tcp,OTH,5060,0,47,normal
tcp,S3,2932,0,100,normal
tcp,OTH,3876,0,54,normal
tcp,SF,1060,0,100,normal
tcp,SF,1939,0,100,normal
tcp,S2,3462,0,100,normal
