% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,3396,3396,0,0,tcpFlood
78,0,2482,2482,0,0,tcpFlood
78,0,6032,6032,0,0,tcpFlood
78,0,5589,5589,0,0,tcpFlood
78,0,3297,3297,0,0,tcpFlood
78,0,1325,1325,0,0,tcpFlood
78,0,6277,6277,0,0,tcpFlood
78,0,2384,2384,0,0,tcpFlood
78,0,848,848,0,0,tcpFlood
78,0,2690,2690,0,0,tcpFlood
78,0,4386,4386,0,0,tcpFlood
78,0,4908,4908,0,0,tcpFlood
78,0,6309,6309,0,0,tcpFlood
78,0,5888,5888,0,0,tcpFlood
78,0,3114,3114,0,0,tcpFlood
78,0,225,225,0,0,tcpFlood
78,0,6230,6230,0,0,tcpFlood
78,0,2617,2617,0,0,tcpFlood
78,0,3295,3295,0,0,tcpFlood
78,0,291,291,0,0,tcpFlood
78,0,3484,3484,0,0,tcpFlood
78,0,5337,5337,0,0,tcpFlood
78,0,85,85,0,0,tcpFlood
78,0,393,393,0,0,tcpFlood
78,0,2125,2125,0,0,tcpFlood
78,0,3204,3204,0,0,tcpFlood
78,0,5327,5327,0,0,tcpFlood
78,0,4704,4704,0,0,tcpFlood
78,0,6313,6313,0,0,tcpFlood
78,0,3646,3646,0,0,tcpFlood
78,0,1197,1197,0,0,tcpFlood
78,0,1775,1775,0,0,tcpFlood
78,0,1427,1427,0,0,tcpFlood
78,0,3438,3438,0,0,tcpFlood
78,0,5129,5129,0,0,tcpFlood
78,0,5810,5810,0,0,tcpFlood
78,0,2708,2708,0,0,tcpFlood
78,0,2436,2436,0,0,tcpFlood
78,0,992,992,0,0,tcpFlood
78,0,105,105,0,0,tcpFlood
78,0,1549,1549,0,0,tcpFlood
78,0,5496,5496,0,0,tcpFlood
78,0,5030,5030,0,0,tcpFlood
78,0,608,608,0,0,tcpFlood
78,0,1384,1384,0,0,tcpFlood
78,0,2605,2605,0,0,tcpFlood
