% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,8-9,16,18,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,tcp,66,5892,5892,0,45,0,normal
0,tcp,66,3117,3117,0,29,0,normal
0,tcp,66,6264,6264,0,48,0,normal
0,tcp,946,4091,4091,0,100,0,normal
0,tcp,66,5512,5512,0,81,0,normal
0,tcp,66,4904,4904,0,43,0,normal
0,tcp,946,2393,2393,0,86,0,normal
0,tcp,946,2519,2519,0,100,0,normal
0,tcp,66,3368,3368,0,46,0,normal
0,tcp,946,2555,2555,0,100,0,normal
0,tcp,946,4251,4251,0,83,0,normal
0,tcp,66,3777,3777,0,43,0,normal
0,tcp,66,5902,5902,0,43,0,normal
0,tcp,946,3386,3386,0,100,0,normal
0,tcp,66,3666,3666,0,39,0,normal
0,tcp,66,3834,3834,0,33,0,normal
0,tcp,946,2512,2512,0,100,0,normal
0,tcp,946,3371,3371,0,100,0,normal
0,tcp,66,3600,3600,0,66,0,normal
0,tcp,946,804,804,0,100,0,normal
0,tcp,946,2238,2238,0,100,0,normal
0,tcp,66,2911,2911,0,53,0,normal
0,tcp,880,1505,1505,0,95,0,normal
0,tcp,946,950,950,0,100,0,normal
0,tcp,146,3192,3192,0,62,0,normal
0,tcp,880,1936,1936,0,86,0,normal
0,tcp,66,2813,2813,0,50,0,normal
0,tcp,66,5406,5406,0,97,0,normal
0,tcp,66,3026,3026,0,21,0,normal
0,tcp,880,3306,3306,0,100,0,normal
0,tcp,946,1461,1461,0,100,0,normal
0,tcp,66,3970,3970,0,94,0,normal
0,tcp,66,3491,3491,0,49,0,normal
0,tcp,946,1062,1062,0,100,0,normal
0,tcp,66,2894,2894,0,50,0,normal
0,tcp,880,986,986,0,100,0,normal
0,tcp,946,2351,2351,0,100,0,normal
0,tcp,946,3314,3314,0,51,0,normal
0,tcp,66,3297,3297,0,47,0,normal
0,tcp,880,2206,2206,0,100,0,normal
0,tcp,946,2577,2577,0,52,0,normal
0,tcp,66,5823,5823,0,45,0,normal
0,tcp,140,2657,2657,0,100,0,normal
0,tcp,946,1839,1839,0,100,0,normal
0,tcp,66,2853,2853,0,49,0,normal
0,tcp,946,4000,4000,0,98,0,normal
0,tcp,946,3960,3960,0,100,0,normal
0,tcp,66,3160,3160,0,42,0,normal
0,tcp,880,946,946,0,100,0,normal
0,tcp,946,2324,2324,0,100,0,normal
0,tcp,946,3248,3248,0,100,0,normal
0,tcp,66,3032,3032,0,39,0,normal
0,tcp,66,3158,3158,0,51,0,normal
0,tcp,66,3532,3532,0,46,0,normal
0,tcp,946,2501,2501,0,100,0,normal
0,tcp,66,5687,5687,0,47,0,normal
0,tcp,880,2315,2315,0,100,0,normal
0,tcp,66,4601,4601,0,48,0,normal
0,tcp,946,1143,1143,0,100,0,normal
0,tcp,946,2246,2246,0,100,0,normal
0,tcp,146,2987,2987,0,58,0,normal
0,tcp,66,2592,2592,0,68,0,normal
0,tcp,66,6255,6255,0,48,0,normal
0,tcp,946,927,927,0,100,0,normal
0,tcp,946,35,35,0,35,0,normal
0,tcp,364,1894,1894,0,100,0,normal
0,tcp,66,4646,4646,0,52,0,normal
0,tcp,946,1008,1008,0,100,0,normal
0,tcp,946,2167,2167,0,50,0,normal
0,tcp,66,2616,2616,0,51,0,normal
0,tcp,946,3363,3363,0,73,0,normal
