% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,8,26,0.54,NORMAL
tcp,S1,3,3,0,NORMAL
tcp,OTH,228,29,0.97,NORMAL
tcp,OTH,25,25,0.57,NORMAL
tcp,OTH,136,33,0.97,NORMAL
tcp,OTH,95,29,0.97,NORMAL
tcp,OTH,324,33,0.97,NORMAL
tcp,OTH,185,34,0.97,NORMAL
tcp,OTH,288,49,0.98,NORMAL
tcp,OTH,262,36,0.97,NORMAL
tcp,OTH,30,30,0.64,NORMAL
tcp,OTH,9,9,0.16,NORMAL
tcp,OTH,183,42,0.98,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,58,37,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,9,14,0.67,NORMAL
tcp,OTH,5,5,0.16,NORMAL
tcp,S2,5,3,0,NORMAL
tcp,OTH,32,32,0.73,NORMAL
tcp,OTH,446,49,0.98,NORMAL
tcp,OTH,65,34,0.76,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,310,31,0.97,NORMAL
tcp,OTH,439,48,0.98,NORMAL
tcp,OTH,2,2,0.04,NORMAL
tcp,OTH,209,31,0.97,NORMAL
tcp,OTH,159,15,0.94,NORMAL
tcp,OTH,310,31,0.97,NORMAL
tcp,SF,0,9,0,NORMAL
tcp,OTH,1,11,0.13,NORMAL
tcp,OTH,217,41,0.98,NORMAL
tcp,OTH,47,35,0.85,NORMAL
tcp,OTH,40,28,0.97,NORMAL
tcp,OTH,109,12,0.92,NORMAL
tcp,OTH,9,9,0.22,NORMAL
tcp,OTH,176,30,0.83,NORMAL
tcp,OTH,6,8,0.17,NORMAL
tcp,OTH,311,35,0.97,NORMAL
tcp,SF,0,1,0,NORMAL
tcp,OTH,160,41,0.98,NORMAL
tcp,OTH,1,1,0.03,NORMAL
tcp,OTH,422,47,0.98,NORMAL
tcp,OTH,105,21,0.95,NORMAL
tcp,OTH,27,32,0.82,NORMAL
tcp,OTH,302,38,0.93,NORMAL
tcp,OTH,86,45,0.96,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,461,50,0.98,NORMAL
tcp,OTH,320,39,0.97,NORMAL
tcp,SF,0,2,0,NORMAL
tcp,OTH,3,5,0.09,NORMAL
tcp,RSTO,13,13,0,NORMAL
tcp,OTH,51,39,0.97,NORMAL
tcp,OTH,2,2,0.05,NORMAL
tcp,OTH,18,18,0.78,NORMAL
tcp,OTH,30,30,0.68,NORMAL
tcp,OTH,2,12,0.8,NORMAL
tcp,OTH,287,29,0.97,NORMAL
tcp,OTH,171,26,0.96,NORMAL
tcp,OTH,37,36,0.92,NORMAL
tcp,OTH,5,5,0.11,NORMAL
tcp,OTH,313,50,0.98,NORMAL
tcp,OTH,7,37,0.71,NORMAL
tcp,OTH,102,44,0.98,NORMAL
tcp,OTH,136,34,0.97,NORMAL
tcp,OTH,184,40,0.98,NORMAL
tcp,OTH,5,7,0.17,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,SF,0,4,0,NORMAL
tcp,OTH,142,33,0.97,NORMAL
tcp,OTH,88,15,0.94,NORMAL
tcp,OTH,207,32,0.97,NORMAL
tcp,OTH,72,38,0.97,NORMAL
tcp,OTH,5,7,0.35,NORMAL
tcp,OTH,54,33,0.97,NORMAL
tcp,OTH,108,22,0.96,NORMAL
tcp,OTH,47,37,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,491,43,0.98,NORMAL
tcp,OTH,153,34,0.97,NORMAL
tcp,OTH,80,38,0.95,NORMAL
tcp,S1,1,1,0,NORMAL
tcp,OTH,443,48,0.98,NORMAL
tcp,OTH,168,33,0.97,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,128,33,0.97,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,OTH,13,19,0.36,NORMAL
tcp,OTH,125,9,0.9,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,58,36,0.97,NORMAL
tcp,OTH,148,29,0.85,NORMAL
tcp,OTH,203,36,0.97,NORMAL
tcp,SF,0,5,0,NORMAL
tcp,OTH,213,32,0.97,NORMAL
tcp,OTH,239,48,0.98,NORMAL
tcp,OTH,316,38,0.97,NORMAL
tcp,SF,2,3,0,NORMAL
tcp,SF,0,13,0,NORMAL
tcp,OTH,98,30,0.91,NORMAL
tcp,OTH,38,38,0.95,NORMAL
tcp,OTH,35,7,0.19,NORMAL
tcp,OTH,1,1,0.03,NORMAL
