% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
40,40,0,22782,6085,121708,0,udpFlood
40,40,0,981,18992,379848,0,udpFlood
40,40,0,45626,3843,76868,0,udpFlood
40,40,0,33424,4585,91708,0,udpFlood
40,40,0,32770,4680,93608,0,udpFlood
40,40,0,28836,1994,119668,0,udpFlood
40,40,0,1881,4978,99568,0,udpFlood
40,40,0,20372,1921,115268,0,udpFlood
40,40,0,46357,3692,73848,0,udpFlood
40,40,0,2231,4680,93608,0,udpFlood
40,40,0,37777,1150,69028,0,udpFlood
40,40,0,43560,950,57028,0,udpFlood
40,40,0,2263,4603,92068,0,udpFlood
40,40,0,2040,15617,312348,0,udpFlood
40,40,0,2072,15920,318408,0,udpFlood
40,40,0,2300,14901,298028,0,udpFlood
40,40,0,2381,14756,295128,0,udpFlood
40,40,0,8728,12139,242788,0,udpFlood
40,40,0,43297,948,56928,0,udpFlood
56,56,0,0,2,48,0,udpFlood
40,40,0,1911,4966,99328,0,udpFlood
40,40,0,46210,3653,73068,0,udpFlood
40,40,0,2206,15151,303028,0,udpFlood
40,40,0,39654,1015,60908,0,udpFlood
40,40,0,27948,2171,130268,0,udpFlood
40,40,0,39965,1041,62488,0,udpFlood
40,40,0,10382,4632,185308,0,udpFlood
40,40,0,1927,5115,102308,0,udpFlood
40,40,0,28055,2034,122088,0,udpFlood
40,40,0,2250,4784,95688,0,udpFlood
40,40,0,2205,4729,94588,0,udpFlood
40,40,0,14422,10010,200208,0,udpFlood
40,40,0,62908,498,39868,0,udpFlood
40,40,0,42486,1893,75748,0,udpFlood
40,40,0,1386,17569,351388,0,udpFlood
40,40,0,37894,759,60768,0,udpFlood
40,40,0,84963,574,11488,0,udpFlood
40,40,0,37379,4305,86108,0,udpFlood
40,40,0,44480,688,55088,0,udpFlood
40,40,0,23181,6348,126968,0,udpFlood
40,40,0,13862,7511,150228,0,udpFlood
40,40,0,12980,9134,182688,0,udpFlood
40,40,0,1018,19047,380948,0,udpFlood
40,40,0,44113,919,55148,0,udpFlood
40,40,0,8450,11826,236528,0,udpFlood
40,40,0,10454,4635,185408,0,udpFlood
40,40,0,18918,7474,149488,0,udpFlood
40,40,0,15346,7085,141708,0,udpFlood
40,40,0,61623,1004,20088,0,udpFlood
40,40,0,13512,7383,147668,0,udpFlood
40,40,0,59452,574,45948,0,udpFlood
40,40,0,27866,2168,130128,0,udpFlood
40,40,0,28595,2070,124208,0,udpFlood
40,40,0,43064,1529,61188,0,udpFlood
40,40,0,2373,4588,91768,0,udpFlood
40,40,0,59549,1548,30968,0,udpFlood
40,40,0,41836,1949,77968,0,udpFlood
40,40,0,2117,3453,69068,0,udpFlood
40,40,0,76014,242,14528,0,udpFlood
40,40,0,23446,1646,131728,0,udpFlood
40,40,0,10526,4458,178348,0,udpFlood
40,40,0,10078,4637,185508,0,udpFlood
40,40,0,59289,591,47328,0,udpFlood
40,40,0,18624,2125,127508,0,udpFlood
40,40,0,22170,6518,130368,0,udpFlood
40,40,0,59325,1285,51408,0,udpFlood
40,40,0,7610,12629,252588,0,udpFlood
40,40,0,31166,5128,102568,0,udpFlood
40,40,0,13366,9387,187748,0,udpFlood
40,40,0,54177,1496,59848,0,udpFlood
