% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,19-20,24,27'

@attribute dst_bytes numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
0,0.99,0.01,0.97,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,0,slowBody
0,1,0,1,slowBody
0,1,0,1,slowBody
74,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,1,slowRead
689,1,0,0.66,slowHeaders
0,1,0,1,slowRead
140,1,0,1,slowBody
0,1,0,1,slowBody
206,1,0,1,slowBody
0,1,0,1,slowHeaders
0,1,0,0,slowBody
74,1,0,0.98,slowBody
0,1,0,1,slowRead
0,1,0,0.44,slowBody
0,1,0,0,slowBody
0,1,0,0.9,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,0.6,slowBody
0,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
1886,1,0,0,slowRead
0,1,0,0.01,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowBody
0,1,0,1,slowBody
0,1,0,0,slowHeaders
1754,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,1,slowBody
140,1,0,1,slowBody
0,1,0,0.97,slowHeaders
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowRead
1019,1,0,0,slowHeaders
0,1,0,1,slowBody
0,0,0,0,slowRead
0,1,0,1,slowBody
1820,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
887,0.99,0.01,0,slowRead
0,1,0,0.38,slowHeaders
0,1,0,0.57,slowHeaders
0,1,0,1,slowRead
953,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,0,slowRead
206,1,0,1,slowHeaders
0,1,0,1,slowHeaders
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,0.65,slowBody
0,1,0,0,slowHeaders
0,1,0,1,slowBody
206,0.99,0.01,0.77,slowRead
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowHeaders
0,1,0,1,slowBody
887,1,0,0.91,slowRead
1024,1,0,0.73,slowBody
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,0.91,slowHeaders
12244,1,0,0.64,slowBody
0,1,0,0,slowRead
0,1,0,1,slowHeaders
0,1,0,1,slowBody
140,1,0,1,slowHeaders
0,1,0,0.65,slowHeaders
0,1,0,0.83,slowHeaders
0,1,0,1,slowBody
0,1,0,0,slowRead
206,1,0,1,slowRead
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,0.99,slowRead
1754,1,0,0,slowRead
1024,1,0,0.86,slowBody
0,1,0,0.89,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowBody
1024,1,0,0.98,slowBody
0,1,0,1,slowRead
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowBody
0,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,0,slowBody
140,0.99,0.01,0.99,slowHeaders
0,1,0,0,slowBody
