% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,S3,380,940,100,httpFlood
tcp,OTH,60,179,33,httpFlood
tcp,S3,374,150,100,httpFlood
tcp,S3,374,339,100,httpFlood
tcp,S3,374,432,100,httpFlood
tcp,RSTO,446,566,100,httpFlood
tcp,S3,374,142,94,httpFlood
tcp,S3,380,945,100,httpFlood
tcp,OTH,66,144,53,httpFlood
tcp,OTH,60,129,32,httpFlood
tcp,S3,374,430,100,httpFlood
tcp,OTH,60,93,36,httpFlood
tcp,S3,374,156,100,httpFlood
tcp,OTH,66,1,1,httpFlood
tcp,S3,380,873,100,httpFlood
tcp,S3,374,145,100,httpFlood
tcp,S3,374,189,100,httpFlood
tcp,S3,374,427,100,httpFlood
tcp,S3,374,85,98,httpFlood
tcp,OTH,66,131,49,httpFlood
tcp,S3,374,131,100,httpFlood
tcp,OTH,60,136,10,httpFlood
tcp,S3,374,146,100,httpFlood
tcp,S3,377,931,100,httpFlood
tcp,OTH,66,58,48,httpFlood
tcp,OTH,66,156,100,httpFlood
tcp,RSTO,446,497,100,httpFlood
tcp,OTH,66,218,98,httpFlood
tcp,OTH,60,133,33,httpFlood
tcp,S3,374,133,100,httpFlood
tcp,S3,377,768,99,httpFlood
tcp,S3,377,447,100,httpFlood
tcp,S3,374,250,100,httpFlood
tcp,OTH,66,1,63,httpFlood
tcp,RSTO,446,378,100,httpFlood
tcp,S3,374,164,100,httpFlood
tcp,S3,374,140,100,httpFlood
tcp,S3,374,112,100,httpFlood
tcp,OTH,66,15,15,httpFlood
tcp,S3,386,371,100,httpFlood
tcp,S3,377,863,100,httpFlood
tcp,RSTO,446,642,100,httpFlood
tcp,S3,374,156,100,httpFlood
tcp,S3,380,740,100,httpFlood
tcp,S3,377,491,100,httpFlood
tcp,S3,374,104,100,httpFlood
tcp,S3,377,400,98,httpFlood
tcp,RSTO,446,563,100,httpFlood
tcp,S3,377,423,100,httpFlood
tcp,S1,242,189,100,httpFlood
tcp,S3,377,390,95,httpFlood
tcp,OTH,60,136,33,httpFlood
tcp,S3,374,74,74,httpFlood
tcp,S3,374,155,100,httpFlood
tcp,OTH,60,177,33,httpFlood
tcp,OTH,60,129,32,httpFlood
tcp,RSTO,446,707,100,httpFlood
tcp,S3,377,870,100,httpFlood
tcp,S3,380,741,100,httpFlood
tcp,OTH,66,38,32,httpFlood
tcp,OTH,60,43,33,httpFlood
tcp,S3,374,151,100,httpFlood
tcp,OTH,66,48,33,httpFlood
tcp,S1,248,152,100,httpFlood
tcp,S3,377,876,100,httpFlood
tcp,S3,374,83,98,httpFlood
tcp,S3,374,149,100,httpFlood
tcp,S3,374,346,100,httpFlood
tcp,OTH,66,103,100,httpFlood
tcp,RSTO,446,632,100,httpFlood
tcp,OTH,60,134,9,httpFlood
tcp,S3,374,404,100,httpFlood
tcp,S3,377,946,100,httpFlood
tcp,S3,374,41,98,httpFlood
tcp,RSTO,446,666,100,httpFlood
tcp,S3,374,148,100,httpFlood
tcp,OTH,66,55,45,httpFlood
tcp,S3,386,0,0,httpFlood
tcp,S3,374,280,100,httpFlood
tcp,OTH,60,129,33,httpFlood
tcp,S3,380,957,100,httpFlood
tcp,S1,242,179,100,httpFlood
tcp,S3,374,144,100,httpFlood
tcp,S3,377,443,100,httpFlood
tcp,S3,452,163,100,httpFlood
tcp,S3,377,444,100,httpFlood
tcp,S3,374,16,98,httpFlood
tcp,S3,377,559,100,httpFlood
tcp,OTH,66,55,37,httpFlood
tcp,OTH,60,134,33,httpFlood
tcp,S3,374,435,100,httpFlood
tcp,S3,377,766,99,httpFlood
tcp,OTH,60,174,33,httpFlood
tcp,S3,380,142,100,httpFlood
tcp,S3,392,754,100,httpFlood
tcp,S3,374,147,100,httpFlood
tcp,S3,377,412,100,httpFlood
tcp,S3,374,400,100,httpFlood
tcp,S3,380,938,100,httpFlood
tcp,RSTO,446,517,100,httpFlood
tcp,S3,374,152,100,httpFlood
tcp,S3,374,131,100,httpFlood
tcp,RSTO,446,524,100,httpFlood
tcp,RSTO,446,481,100,httpFlood
tcp,OTH,60,9,9,httpFlood
tcp,S3,380,912,100,httpFlood
tcp,OTH,66,115,100,httpFlood
tcp,OTH,60,178,33,httpFlood
tcp,OTH,60,144,33,httpFlood
tcp,S3,374,150,100,httpFlood
tcp,OTH,66,222,98,httpFlood
tcp,S3,374,161,100,httpFlood
