% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
5153,183048,52,388,8,52,3129,4584,16121778,267964,tcpFlood
209,1464,52,172,9,52,3964,30455,824703,10876,tcpFlood
380,5200,52,1500,118,52,17283,60440,59820,19768,tcpFlood
2,0,78,78,0,-1,751980,0,751980,48,tcpFlood
5270,196366,52,328,8,52,1752,2451,9233697,274048,tcpFlood
906,5416,52,292,8,52,6615,58323,2427416,47120,tcpFlood
4933,188122,52,388,8,52,3380,4625,16670439,256524,tcpFlood
672,5636,52,292,9,52,7945,50221,1824133,34952,tcpFlood
403,6246,52,184,7,52,23333,89270,46888,20964,tcpFlood
3895,159082,52,316,9,52,1850,2364,7207879,202548,tcpFlood
5064,189678,52,388,8,52,3150,4390,15949805,263336,tcpFlood
3328,143626,52,340,10,52,1859,2249,6188208,173064,tcpFlood
1096,5988,52,304,9,52,6025,57501,3004729,57000,tcpFlood
4485,0,40,40,0,-1,6540,0,29325947,89708,udpFlood
2937,0,40,40,0,-1,8479,0,1076489,58748,udpFlood
5919,0,40,40,0,-1,3973,0,45298,118388,udpFlood
4420,0,40,40,0,-1,6646,0,29370397,88408,udpFlood
7005,0,40,40,0,-1,3482,0,47968,140108,udpFlood
2685,0,40,40,0,-1,6750,0,23065,53708,udpFlood
4959,0,40,40,0,-1,1944,0,9642057,99188,udpFlood
5876,0,40,40,0,-1,4443,0,27847,117528,udpFlood
15415,0,40,40,0,-1,1925,0,29672326,308308,udpFlood
19090,0,40,40,0,-1,1588,0,30326448,381808,udpFlood
3013,0,40,40,0,-1,8964,0,8282503,60268,udpFlood
6628,0,40,40,0,-1,3901,0,31098,132568,udpFlood
4612,0,40,40,0,-1,6369,0,29370207,92248,udpFlood
2157,0,40,40,0,-1,9053,0,2354552,43148,udpFlood
3275,0,40,40,0,-1,7945,0,9606562,65508,udpFlood
4814,0,40,40,0,-1,2005,0,9652161,96288,udpFlood
10025,0,40,40,0,-1,2929,0,29360989,200508,udpFlood
18029,0,40,40,0,-1,1661,0,29956269,360588,udpFlood
17506,0,40,40,0,-1,1711,0,29955681,350128,udpFlood
2980,0,40,40,0,-1,8659,0,1123607,59608,udpFlood
6773,0,40,40,0,-1,3722,0,21823,135468,udpFlood
6127,0,40,40,0,-1,4875,0,29868004,122548,udpFlood
7481,0,40,40,0,-1,3926,0,29366901,149628,udpFlood
7677,0,40,40,0,-1,3825,0,29368306,153548,udpFlood
5087,0,40,40,0,-1,1897,0,9653156,101748,udpFlood
6474,0,40,40,0,-1,4614,0,29867455,129488,udpFlood
9419,0,40,40,0,-1,3104,0,29240931,188388,udpFlood
2686,0,40,40,0,-1,9289,0,1663800,53728,udpFlood
11786,0,40,40,0,-1,2553,0,30092487,235728,udpFlood
3780,0,40,40,0,-1,7756,0,29313273,75608,udpFlood
6317,0,40,40,0,-1,4727,0,29861412,126348,udpFlood
797,0,40,40,0,-1,15226,0,12720,15948,udpFlood
7114,0,40,40,0,-1,3831,0,27251321,142288,udpFlood
3192,0,40,40,0,-1,8503,0,8297221,63848,udpFlood
4903,0,40,40,0,-1,1969,0,9652383,98068,udpFlood
15402,0,40,40,0,-1,1926,0,29673333,308048,udpFlood
6051,0,40,40,0,-1,4021,0,34658,121028,udpFlood
7550,0,40,40,0,-1,3609,0,27250757,151008,udpFlood
9058,0,40,40,0,-1,3171,0,8406209,181168,udpFlood
7214,0,40,40,0,-1,4140,0,29867174,144288,udpFlood
2088,0,40,40,0,-1,11426,0,912825,41768,udpFlood
6490,0,40,40,0,-1,3594,0,13574,129808,udpFlood
6264,0,40,40,0,-1,4089,0,10569,125288,udpFlood
