% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7,9,11,24,30,33,40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute max_active numeric
@attribute sflow_fpackets numeric
@attribute sflow_bbytes numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,2008,52,72,11244542,1461,36708,tcpFlood
52,2584,52,566,15475640,3493,104999,tcpFlood
52,2948,52,566,17685543,2774,84451,tcpFlood
52,2948,52,80,13059586,1223,34820,tcpFlood
52,1972,52,566,17687906,3055,89237,tcpFlood
52,2948,52,566,13788835,1318,38333,tcpFlood
52,2480,52,566,16662406,2527,70937,tcpFlood
52,2948,52,566,13772387,2269,70339,tcpFlood
52,2948,40,566,21912131,5407,145931,tcpFlood
52,2948,52,72,12152470,1476,40964,tcpFlood
52,2948,52,80,22243944,2419,54784,tcpFlood
328,328,-1,-1,0,1,0,tcpFlood
52,1660,52,566,19078952,11415,286542,tcpFlood
52,2080,52,72,6873958,1066,25220,tcpFlood
52,2368,52,80,20073055,2307,53512,tcpFlood
60,316,60,60,1535956,5,20,tcpFlood
52,2948,52,578,13900727,1709,54321,tcpFlood
52,1780,52,566,5385552,3103,76522,tcpFlood
52,2320,52,566,18155909,10766,274690,tcpFlood
52,2948,52,80,12842668,1158,21600,tcpFlood
52,280,60,60,1472573,15,60,tcpFlood
52,1500,52,566,5365985,2989,71294,tcpFlood
52,2948,52,566,16521455,2891,77427,tcpFlood
52,2948,52,566,19980515,5193,151007,tcpFlood
52,2948,52,566,16397209,2655,71681,tcpFlood
52,2948,52,72,14963269,1992,49084,tcpFlood
60,2948,52,566,13789437,1028,27161,tcpFlood
71,71,-1,-1,0,1,0,tcpFlood
52,2596,52,566,13778600,8116,178594,tcpFlood
52,2948,52,80,14054985,1460,38336,tcpFlood
52,2692,52,80,21025416,2234,52484,tcpFlood
52,2764,52,566,17101087,10480,306934,tcpFlood
52,2948,52,80,15062445,1661,44984,tcpFlood
52,1500,60,60,1771371,2,10,tcpFlood
52,316,60,60,1487391,8,30,tcpFlood
52,2948,52,566,17392738,3095,86585,tcpFlood
52,1500,52,80,12721016,1086,18890,tcpFlood
52,748,52,566,20350472,15360,703146,tcpFlood
52,2740,52,566,20194059,12313,385496,tcpFlood
52,2948,52,586,13749434,1851,54903,tcpFlood
52,2560,52,80,18129271,2037,47404,tcpFlood
52,2132,52,566,22750829,5653,175638,tcpFlood
52,64,52,566,13143293,9880,273886,tcpFlood
52,2164,52,72,3784892,536,15272,tcpFlood
52,1948,52,80,11482071,1491,41524,tcpFlood
52,2948,52,566,13751378,940,24073,tcpFlood
52,2200,52,80,13362795,1556,42848,tcpFlood
52,4396,52,566,16013674,7164,157414,tcpFlood
52,340,60,60,1518709,6,20,tcpFlood
52,2948,52,566,15896320,1995,67459,tcpFlood
52,2948,52,80,13562161,1883,46772,tcpFlood
52,1996,52,80,22296688,2191,54672,tcpFlood
52,1888,52,566,17679747,3199,90261,tcpFlood
52,2488,52,80,20832772,2337,54024,tcpFlood
52,2512,40,566,17982281,5051,145891,tcpFlood
52,2948,52,566,13786171,1979,57767,tcpFlood
52,2188,52,586,13893249,1387,41203,tcpFlood
52,2948,52,566,13771331,3342,92531,tcpFlood
52,2948,52,566,11207633,6529,143670,tcpFlood
52,2948,52,566,23642550,4071,109026,tcpFlood
52,2948,52,80,20104027,2017,48216,tcpFlood
52,2948,40,566,20088998,4916,139091,tcpFlood
52,2948,52,566,14149066,3869,111523,tcpFlood
52,340,60,60,1534771,6,20,tcpFlood
52,2948,52,566,16908697,8617,174350,tcpFlood
52,2236,52,80,20782764,2453,55500,tcpFlood
52,2728,52,566,12870345,7858,225874,tcpFlood
52,2128,52,566,13773100,3219,93635,tcpFlood
52,1500,52,80,6402110,1111,26372,tcpFlood
52,2452,52,566,20178014,12488,377486,tcpFlood
52,2948,52,566,13876450,2669,82745,tcpFlood
52,1500,52,566,19056891,11451,287098,tcpFlood
52,2948,52,80,20241658,2146,54808,tcpFlood
52,2948,52,72,14185395,1472,40952,tcpFlood
