% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,12,17,27,34-35,40'

@attribute total_fpackets numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute std_bpktl numeric
@attribute min_biat numeric
@attribute mean_idle numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
7712,2948,56,52,9,2,0,7706,1,HIGH_RATE
9503,2948,95,52,4,2,1088518,9483,0,HIGH_RATE
9369,2644,40,52,7,3,0,9364,1,HIGH_RATE
1402,2948,235,52,5,2,2429461,1390,0,HIGH_RATE
3,328,0,-1,0,0,10165082,0,0,HIGH_RATE
7545,1876,45,52,9,2,0,7541,1,HIGH_RATE
1937,2948,208,52,6,3,0,1923,0,HIGH_RATE
2217,2924,185,52,6,2,0,2206,0,HIGH_RATE
2660,2948,195,52,12,2,0,2641,1,HIGH_RATE
5717,2704,93,52,10,2,1182512,5708,1,HIGH_RATE
9300,2948,102,52,8,1,1081125,9274,1,HIGH_RATE
5135,2896,102,52,10,2,1100536,5123,1,HIGH_RATE
1621,2948,199,52,5,2,0,1608,0,HIGH_RATE
8631,88,0,52,5,6,0,8628,1,HIGH_RATE
11715,1780,27,52,7,1,0,11712,1,HIGH_RATE
2190,2764,177,52,6,2,0,2182,0,HIGH_RATE
6162,2188,93,52,10,2,1181955,6149,1,HIGH_RATE
11469,2788,39,52,6,9,0,11465,1,HIGH_RATE
1994,2948,136,52,5,2,1146855,1990,0,HIGH_RATE
2106,2948,198,52,5,12,0,2095,0,HIGH_RATE
11446,1500,23,52,7,2,0,11442,1,HIGH_RATE
2932,1500,38,52,1,6,0,2928,0,HIGH_RATE
8662,2896,42,52,7,4,0,8658,1,HIGH_RATE
715,1500,102,52,5,34,0,712,0,HIGH_RATE
2070,2948,249,52,6,2,3857185,2048,0,HIGH_RATE
849,1500,111,52,6,3,0,845,0,HIGH_RATE
6,64,3,60,0,0,9449058,1,0,HIGH_RATE
2446,2500,164,52,6,4,0,2436,0,HIGH_RATE
10679,2728,41,52,9,5,0,10673,2,HIGH_RATE
5679,2524,104,52,10,2,1200983,5663,1,HIGH_RATE
8586,2248,53,52,8,2,0,8580,1,HIGH_RATE
2319,2948,173,52,6,3,0,2308,0,HIGH_RATE
1938,2948,147,52,5,35,1147292,1931,0,HIGH_RATE
2565,2948,117,52,6,3,1147718,2560,0,HIGH_RATE
3041,2344,158,52,11,2,0,3023,1,HIGH_RATE
9161,3076,103,52,8,2,1096338,9136,1,HIGH_RATE
9413,64,0,52,7,11,0,9410,1,HIGH_RATE
2232,2296,145,52,6,2,0,2225,0,HIGH_RATE
1543,1948,148,52,5,2,0,1537,0,HIGH_RATE
1144,1500,121,52,6,31,0,1140,0,HIGH_RATE
4595,2948,112,52,11,2,1096548,4587,1,HIGH_RATE
2503,2704,166,52,6,31,0,2495,0,HIGH_RATE
8763,1912,50,52,8,2,0,8758,1,HIGH_RATE
7648,1516,33,52,9,2,0,7644,1,HIGH_RATE
8182,2848,50,52,7,5,0,8178,1,HIGH_RATE
6046,2684,65,52,10,2,0,6040,1,HIGH_RATE
2055,2948,154,52,17,2,1082207,2047,1,HIGH_RATE
3096,2948,142,52,13,2,1094432,3083,1,HIGH_RATE
1496,1500,126,52,6,3,0,1489,0,HIGH_RATE
1275,2200,157,52,5,3,0,1271,0,HIGH_RATE
6046,1780,88,52,9,2,1131808,6027,1,HIGH_RATE
2934,2044,136,52,14,2,1123330,2924,1,HIGH_RATE
9924,2948,96,40,7,1,1081026,9906,1,HIGH_RATE
