@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
S3,374,159,100,highrate
S3,377,840,99,highrate
RSTO,446,354,100,highrate
S3,377,632,100,highrate
OTH,60,109,33,highrate
OTH,66,258,98,highrate
OTH,60,180,33,highrate
S3,374,147,100,highrate
S3,380,919,100,highrate
S3,377,787,99,highrate
OTH,66,40,33,highrate
S3,380,144,100,highrate
S3,374,279,100,highrate
RSTO,446,381,100,highrate
S3,374,126,100,highrate
OTH,60,131,33,highrate
OTH,66,71,94,highrate
OTH,60,58,25,highrate
OTH,60,64,11,highrate
S3,374,363,100,highrate
S3,374,149,100,highrate
S3,377,803,99,highrate
OTH,60,73,19,highrate
OTH,60,177,33,highrate
S3,374,169,100,highrate
S3,377,403,99,highrate
OTH,60,14,14,highrate
OTH,60,109,34,highrate
S3,377,769,99,highrate
S3,377,387,94,highrate
S3,374,145,100,highrate
S3,377,488,100,highrate
S3,374,144,100,highrate
S3,377,339,78,highrate
S3,380,163,100,highrate
S3,377,601,100,highrate
OTH,60,141,29,highrate
OTH,60,141,30,highrate
OTH,60,129,32,highrate
S3,380,851,100,highrate
S3,374,355,100,highrate
OTH,66,82,94,highrate
S3,377,454,100,highrate
S3,377,452,100,highrate
OTH,60,154,33,highrate
RSTO,446,361,100,highrate
S3,374,149,100,highrate
S1,248,203,100,highrate
S3,380,161,100,highrate
S3,374,215,100,highrate
S3,374,153,100,highrate
S3,374,147,100,highrate
S3,377,620,100,highrate
OTH,60,178,33,highrate
OTH,60,117,32,highrate
OTH,60,136,33,highrate
S3,374,161,100,highrate
OTH,60,167,33,highrate
OTH,66,16,16,highrate
RSTO,446,576,100,highrate
S3,377,905,100,highrate
OTH,60,140,21,highrate
S3,374,172,100,highrate
S3,374,105,71,highrate
S3,380,142,100,highrate
OTH,66,240,98,highrate
S3,374,5,98,highrate
OTH,60,112,33,highrate
S3,377,607,100,highrate
OTH,60,168,33,highrate
OTH,60,120,35,highrate
OTH,60,45,33,highrate
OTH,60,133,33,highrate
OTH,60,164,33,highrate
S3,374,169,100,highrate
S3,377,378,91,highrate
OTH,60,139,20,highrate
OTH,60,177,33,highrate
S3,377,410,100,highrate
S3,374,80,80,highrate
S3,464,112,100,highrate
OTH,66,162,100,highrate
S3,380,762,100,highrate
S3,377,999,100,highrate
