% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,779,100,0,httpFlood
tcp,134,100,0,httpFlood
tcp,178,33,0,httpFlood
tcp,117,100,0,httpFlood
tcp,375,100,0,httpFlood
tcp,79,59,0,httpFlood
tcp,384,100,0,httpFlood
tcp,200,100,0,httpFlood
tcp,130,100,0,httpFlood
tcp,355,100,0,httpFlood
tcp,858,100,0,httpFlood
tcp,453,100,0,httpFlood
tcp,428,100,0,httpFlood
tcp,150,100,0,httpFlood
tcp,213,100,0,httpFlood
tcp,174,33,0,httpFlood
tcp,519,100,0,httpFlood
tcp,752,100,0,httpFlood
tcp,20,20,0,httpFlood
tcp,147,100,0,httpFlood
tcp,133,100,0,httpFlood
tcp,74,52,0,httpFlood
tcp,467,100,0,httpFlood
tcp,142,100,0,httpFlood
tcp,170,33,0,httpFlood
tcp,508,100,0,httpFlood
tcp,111,100,0,httpFlood
tcp,180,33,0,httpFlood
tcp,139,100,0,httpFlood
tcp,140,100,0,httpFlood
tcp,116,100,0,httpFlood
tcp,317,100,0,httpFlood
tcp,718,100,0,httpFlood
tcp,156,100,0,httpFlood
tcp,148,100,0,httpFlood
tcp,11,98,0,httpFlood
tcp,143,31,0,httpFlood
tcp,401,100,0,httpFlood
tcp,247,98,0,httpFlood
tcp,298,100,0,httpFlood
tcp,389,100,0,httpFlood
tcp,71,14,0,httpFlood
tcp,82,82,0,httpFlood
tcp,193,98,0,httpFlood
tcp,286,100,0,httpFlood
tcp,137,35,0,httpFlood
tcp,147,100,0,httpFlood
tcp,135,100,0,httpFlood
tcp,108,16,0,httpFlood
tcp,100,68,0,httpFlood
tcp,157,100,0,httpFlood
tcp,832,100,0,httpFlood
tcp,236,98,0,httpFlood
tcp,119,100,0,httpFlood
tcp,52,52,0,httpFlood
tcp,592,100,0,httpFlood
tcp,178,99,0,httpFlood
tcp,519,100,0,httpFlood
tcp,116,79,0,httpFlood
tcp,773,100,0,httpFlood
tcp,90,98,0,httpFlood
tcp,179,33,0,httpFlood
tcp,696,100,0,httpFlood
tcp,255,100,0,httpFlood
tcp,120,26,0,httpFlood
tcp,133,34,0,httpFlood
tcp,139,94,0,httpFlood
tcp,174,100,0,httpFlood
tcp,75,53,0,httpFlood
tcp,142,100,0,httpFlood
tcp,177,33,0,httpFlood
tcp,60,44,0.82,httpFlood
tcp,844,100,0,httpFlood
tcp,845,100,0,httpFlood
tcp,507,100,0,httpFlood
tcp,84,56,0,httpFlood
tcp,24,24,0,httpFlood
tcp,849,100,0,httpFlood
tcp,152,100,0,httpFlood
tcp,503,100,0,httpFlood
tcp,43,43,0,httpFlood
tcp,115,100,0,httpFlood
tcp,211,89,0.25,httpFlood
tcp,721,100,0,httpFlood
tcp,281,99,0,httpFlood
tcp,174,100,0,httpFlood
tcp,99,100,0,httpFlood
tcp,116,100,0,httpFlood
tcp,192,98,0,httpFlood
tcp,101,69,0,httpFlood
tcp,149,100,0,httpFlood
tcp,880,100,0,httpFlood
tcp,155,71,0.85,httpFlood
tcp,397,100,0,httpFlood
tcp,24,79,0,httpFlood
tcp,201,100,0,httpFlood
tcp,132,100,0,httpFlood
tcp,182,100,0,httpFlood
tcp,115,78,0,httpFlood
