% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,21,27-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,SF,2541,0,normal
0,OTH,4943,0.02,normal
0,OTH,2918,0.16,normal
0,SF,2091,0,normal
0,OTH,4182,0.11,normal
0,SF,2259,0,normal
0,SF,2614,0,normal
0,OTH,4497,0.12,normal
0,SF,3168,0,normal
0,SF,2435,0,normal
0,SF,2706,0,normal
0,OTH,2824,0.02,normal
0,SF,636,0,normal
0,S1,2688,0,normal
0,OTH,3160,0.02,normal
0,OTH,5842,0.08,normal
0,SF,3181,0,normal
0,OTH,2962,0.06,normal
0,SF,2569,0,normal
0,SF,2003,0,normal
0,OTH,3337,0.07,normal
0,SF,3051,0,normal
0,OTH,2831,0,normal
0,OTH,2529,0.02,normal
0,SF,4042,0,normal
0,SF,3084,0,normal
0,OTH,3402,0.02,normal
0,SF,2353,0,normal
0,SF,3452,0,normal
0,OTH,5952,0.12,normal
0,SF,2246,0,normal
0,SF,3876,0,normal
0,SF,1344,0,normal
0,SF,2549,0,normal
0,SF,1932,0,normal
0,SF,3944,0,normal
0,SF,2182,0,normal
0,OTH,3272,0.06,normal
0,OTH,4674,0.13,normal
0,OTH,5914,0.16,normal
0,OTH,3498,0.13,normal
0,SF,566,0,normal
0,SF,2435,0,normal
0,OTH,5678,0,normal
0,OTH,2884,0.12,normal
0,SF,3338,0,normal
0,SF,1747,0,normal
0,SF,3372,0,normal
0,OTH,2671,0.15,normal
0,OTH,1495,0,normal
0,OTH,3291,0.04,normal
0,OTH,3153,0.05,normal
0,SF,2218,0,normal
0,OTH,2999,0.02,normal
0,SF,2386,0,normal
0,OTH,3159,0,normal
0,OTH,5058,0.16,normal
0,OTH,3525,0,normal
0,OTH,4960,0.1,normal
0,SF,3083,0,normal
0,OTH,2840,0.05,normal
0,SF,3178,0,normal
1,SF,1969,0,normal
0,OTH,5129,0,normal
0,OTH,3283,0.13,normal
0,SF,1512,0,normal
0,OTH,5246,0.07,normal
0,OTH,3287,0.17,normal
0,OTH,3905,0.06,normal
0,OTH,3849,0,normal
0,SF,1998,0,normal
0,OTH,2729,0.02,normal
0,OTH,4862,0.02,normal
0,OTH,2700,0.11,normal
0,SF,2211,0,normal
0,SF,5668,0,normal
0,S1,2677,0,normal
0,SF,467,0,normal
0,OTH,5364,0.04,normal
0,OTH,3393,0.01,normal
0,SF,2081,0,normal
0,SF,1835,0,normal
0,OTH,2985,0.04,normal
0,SF,3886,0,normal
0,OTH,2344,0,normal
0,SF,2150,0,normal
1,SF,1444,0,normal
0,SF,3513,0,normal
0,OTH,2431,0.02,normal
0,SF,2109,0,normal
0,OTH,5880,0,normal
0,SF,2435,0,normal
0,OTH,4911,0.02,normal
0,SF,2266,0,normal
0,SF,1655,0,normal
0,OTH,4961,0.02,normal
0,OTH,3057,0,normal
0,SF,3010,0,normal
0,OTH,2670,0.02,normal
0,OTH,4837,0,normal
0,SF,1749,0,normal
0,OTH,3397,0.06,normal
0,OTH,5154,0.02,normal
0,OTH,5787,0,normal
0,OTH,5743,0.08,normal
0,SF,899,0,normal
0,SF,2726,0,normal
0,SF,1019,0,normal
0,SF,3346,0,normal
0,SF,3172,0,normal
0,SF,2913,0,normal
0,SF,3296,0,normal
0,SF,3533,0,normal
0,OTH,2498,0.03,normal
0,SF,2255,0,normal
0,SF,2205,0,normal
0,SF,2149,0,normal
0,SF,1429,0,normal
0,SF,2860,0,normal
0,OTH,5778,0.11,normal
0,OTH,4955,0.02,normal
0,SF,2243,0,normal
0,OTH,3140,0,normal
0,OTH,5813,0.08,normal
0,S3,1674,0,normal
0,SF,3832,0,normal
0,OTH,4935,0.11,normal
0,SF,3062,0,normal
0,OTH,5701,0,normal
0,SF,2599,0,normal
0,SF,2968,0,normal
0,SF,3348,0,normal
0,S1,2462,0,normal
0,OTH,3430,0.08,normal
0,OTH,3142,0.02,normal
0,OTH,4051,0.08,normal
0,OTH,5515,0,normal
0,SF,1939,0,normal
0,OTH,3286,0,normal
0,SF,3042,0,normal
0,OTH,3483,0,normal
0,OTH,3201,0.06,normal
0,OTH,4813,0,normal
0,OTH,2521,0.02,normal
0,OTH,2494,0,normal
0,SF,2222,0,normal
0,OTH,2618,0,normal
0,SF,2613,0,normal
0,OTH,4192,0.13,normal
0,SF,2225,0,normal
0,S1,2830,0,normal
0,SF,2515,0,normal
0,SF,3521,0,normal
0,SF,1525,0,normal
0,SF,2222,0,normal
0,SF,2201,0,normal
0,SF,2228,0,normal
0,OTH,2903,0.14,normal
0,SF,1899,0,normal
0,SF,4252,0,normal
0,SF,2155,0,normal
0,SF,3998,0,normal
0,SF,1140,0,normal
0,SF,2725,0,normal
0,SF,2012,0,normal
0,OTH,2883,0,normal
0,SF,4468,0,normal
0,OTH,3848,0.18,normal
0,OTH,3031,0,normal
0,SF,2250,0,normal
0,SF,3348,0,normal
0,OTH,3393,0,normal
0,OTH,4874,0.16,normal
0,OTH,4042,0.2,normal
0,SF,2062,0,normal
0,SF,3916,0,normal
0,SF,2157,0,normal
0,SF,2853,0,normal
0,OTH,6211,0,normal
0,OTH,3146,0.12,normal
0,S1,1611,0,normal
0,SF,2026,0,normal
0,OTH,3299,0.03,normal
0,SF,2189,0,normal
0,OTH,2953,0,normal
0,SF,1827,0,normal
0,SF,1931,0,normal
0,SF,2050,0,normal
0,SF,2130,0,normal
0,OTH,3343,0.06,normal
0,SF,2040,0,normal
0,OTH,2726,0.09,normal
0,SF,1940,0,normal
0,OTH,4974,0,normal
0,SF,2390,0,normal
0,OTH,3393,0.15,normal
0,OTH,2830,0.09,normal
0,SF,1851,0,normal
0,SF,2071,0,normal
0,SF,1182,0,normal
0,OTH,6119,0.23,normal
0,SF,2044,0,normal
0,OTH,3883,0.01,normal
0,OTH,4238,0.01,normal
0,OTH,4992,0.05,normal
0,OTH,4886,0.09,normal
0,S1,2736,0,normal
0,OTH,3954,0.12,normal
0,SF,3299,0,normal
0,SF,2254,0,normal
0,SF,2311,0,normal
0,S3,3098,0,normal
0,SF,1140,0,normal
0,SF,1906,0,normal
0,SF,2307,0,normal
0,OTH,2133,0,normal
0,SF,3889,0,normal
0,OTH,5592,0.01,normal
0,OTH,2925,0.03,normal
0,OTH,2598,0.01,normal
0,OTH,2016,0.02,normal
0,SF,2358,0,normal
0,OTH,3076,0.16,normal
0,OTH,2506,0.08,normal
0,SF,2282,0,normal
0,OTH,5702,0,normal
0,OTH,4954,0.02,normal
0,SF,3207,0,normal
0,SF,2386,0,normal
0,SF,2367,0,normal
0,SF,2989,0,normal
0,OTH,5178,0,normal
0,OTH,2719,0.02,normal
0,OTH,5330,0.08,normal
0,SF,2205,0,normal
0,SF,3295,0,normal
0,SF,2400,0,normal
1,SF,592,0,normal
0,SF,2012,0,normal
0,SF,591,0,normal
0,OTH,3197,0.18,normal
0,SF,2790,0,normal
0,SF,795,0,normal
0,SF,2492,0,normal
0,SF,1948,0,normal
0,SF,3349,0,normal
0,OTH,6272,0.06,normal
0,OTH,3330,0.11,normal
0,SF,3026,0,normal
0,SF,2321,0,normal
0,SF,2619,0,normal
