% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,146,5047,51,1,0,0,normal
OTH,66,3406,52,1,0.02,0,normal
SF,946,2821,100,1,0,0,normal
SF,946,2441,100,1,0,0,normal
SF,946,2091,100,1,0,0,normal
SF,880,2191,100,1,0,0,normal
SF,946,2970,100,1,0,0,normal
OTH,66,5260,88,1,0.03,0,normal
SF,946,2509,94,1,0,0,normal
SF,946,2229,100,1,0,0,normal
SF,946,4047,100,1,0,0,normal
OTH,146,2846,78,1,0.01,0,normal
SF,946,3254,75,1,0,0,normal
OTH,66,2897,21,1,0,0,normal
SF,946,2072,100,1,0,0,normal
SF,1120,1868,99,1,0,0,normal
SF,946,2968,100,1,0,0,normal
SF,946,1964,100,1,0,0,normal
SF,946,2206,100,1,0,0,normal
OTH,66,3240,36,1,0.22,0,normal
SF,1120,1850,94,1,0,0,normal
OTH,66,4899,43,1,0,0,normal
SF,946,2262,100,1,0,0,normal
OTH,66,3021,30,1,0,0,normal
OTH,66,4693,54,1,0.05,0,normal
SF,1024,2109,99,1,0,0,normal
SF,946,988,100,1,0,0,normal
SF,946,591,100,1,0,0,normal
SF,946,2180,98,1,0,0,normal
SF,880,3321,70,1,0,0,normal
SF,946,1853,98,1,0,0,normal
OTH,66,2756,49,1,0.12,0,normal
SF,946,3823,50,1,0,0,normal
SF,946,4028,100,1,0,0,normal
SF,946,3021,100,1,0,0,normal
SF,946,2076,100,1,0,0,normal
OTH,66,3052,79,1,0.1,0,normal
OTH,66,5845,52,1,0.15,0,normal
SF,1042,1712,100,1,0,0,normal
SF,946,1910,92,1,0,0,normal
OTH,66,4787,45,1,0.07,0,normal
SF,946,2949,100,1,0,0,normal
OTH,66,2910,47,1,0,0,normal
OTH,66,5170,40,1,0.02,0,normal
OTH,78,5964,39,1,0.07,0,normal
OTH,66,2877,38,1,0.05,0,normal
OTH,66,3499,43,1,0.09,0,normal
SF,880,2863,35,1,0,0,normal
SF,946,1956,100,1,0,0,normal
SF,880,5915,51,1,0,0,normal
SF,946,2685,100,1,0,0,normal
