% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,377,882,httpFlood
tcp,374,138,httpFlood
tcp,380,968,httpFlood
tcp,60,114,httpFlood
tcp,374,156,httpFlood
tcp,374,357,httpFlood
tcp,374,176,httpFlood
udp,60,109,udpFlood
tcp,374,146,httpFlood
tcp,374,127,httpFlood
tcp,374,124,httpFlood
tcp,60,135,httpFlood
tcp,66,36,httpFlood
tcp,374,138,httpFlood
tcp,66,169,httpFlood
udp,60,136,udpFlood
udp,60,121,udpFlood
tcp,446,801,httpFlood
tcp,66,30,httpFlood
udp,60,44,udpFlood
tcp,386,204,httpFlood
tcp,446,406,httpFlood
tcp,374,169,httpFlood
tcp,66,100,httpFlood
tcp,374,187,httpFlood
tcp,60,179,httpFlood
tcp,392,751,httpFlood
tcp,60,133,httpFlood
tcp,60,159,httpFlood
tcp,377,991,httpFlood
tcp,374,142,httpFlood
tcp,374,40,httpFlood
tcp,60,126,httpFlood
tcp,60,136,httpFlood
tcp,374,49,httpFlood
tcp,374,159,httpFlood
tcp,60,177,httpFlood
tcp,66,53,httpFlood
tcp,66,20,httpFlood
tcp,66,136,httpFlood
tcp,380,944,httpFlood
tcp,374,149,httpFlood
tcp,248,167,httpFlood
tcp,374,153,httpFlood
tcp,374,100,httpFlood
tcp,374,123,httpFlood
tcp,66,232,httpFlood
tcp,374,199,httpFlood
tcp,374,153,httpFlood
tcp,374,380,httpFlood
tcp,446,798,httpFlood
tcp,386,330,httpFlood
tcp,377,701,httpFlood
tcp,446,335,httpFlood
tcp,374,28,httpFlood
tcp,446,551,httpFlood
tcp,374,150,httpFlood
tcp,446,821,httpFlood
tcp,374,365,httpFlood
tcp,377,939,httpFlood
tcp,374,134,httpFlood
tcp,60,178,httpFlood
tcp,374,117,httpFlood
tcp,446,375,httpFlood
tcp,66,79,httpFlood
tcp,377,544,httpFlood
tcp,374,200,httpFlood
tcp,374,130,httpFlood
tcp,446,355,httpFlood
tcp,377,1018,httpFlood
tcp,446,453,httpFlood
tcp,374,428,httpFlood
tcp,374,150,httpFlood
tcp,374,213,httpFlood
tcp,60,136,httpFlood
tcp,446,519,httpFlood
tcp,377,912,httpFlood
tcp,66,20,httpFlood
tcp,380,147,httpFlood
tcp,374,133,httpFlood
tcp,66,74,httpFlood
tcp,446,467,httpFlood
tcp,380,142,httpFlood
tcp,60,132,httpFlood
tcp,377,668,httpFlood
tcp,374,111,httpFlood
tcp,60,180,httpFlood
tcp,374,139,httpFlood
tcp,374,140,httpFlood
tcp,66,116,httpFlood
tcp,377,477,httpFlood
tcp,446,718,httpFlood
tcp,374,156,httpFlood
tcp,374,148,httpFlood
tcp,374,11,httpFlood
tcp,60,143,httpFlood
tcp,374,401,httpFlood
tcp,66,247,httpFlood
tcp,66,298,httpFlood
tcp,446,389,httpFlood
tcp,60,52,httpFlood
tcp,374,82,httpFlood
tcp,66,193,httpFlood
tcp,377,446,httpFlood
tcp,60,99,httpFlood
tcp,374,147,httpFlood
tcp,374,135,httpFlood
tcp,60,70,httpFlood
tcp,374,100,httpFlood
tcp,374,157,httpFlood
tcp,446,832,httpFlood
tcp,66,236,httpFlood
tcp,374,119,httpFlood
tcp,374,52,httpFlood
tcp,377,752,httpFlood
tcp,66,178,httpFlood
tcp,377,679,httpFlood
tcp,374,116,httpFlood
tcp,446,773,httpFlood
tcp,374,90,httpFlood
tcp,60,179,httpFlood
tcp,377,856,httpFlood
tcp,374,255,httpFlood
tcp,60,82,httpFlood
tcp,60,133,httpFlood
tcp,374,139,httpFlood
tcp,374,174,httpFlood
tcp,66,75,httpFlood
tcp,374,142,httpFlood
tcp,60,177,httpFlood
tcp,66,113,httpFlood
tcp,377,1004,httpFlood
tcp,377,1005,httpFlood
tcp,377,667,httpFlood
tcp,66,84,httpFlood
tcp,374,24,httpFlood
tcp,377,1009,httpFlood
tcp,374,152,httpFlood
tcp,377,663,httpFlood
tcp,374,43,httpFlood
tcp,374,115,httpFlood
tcp,377,371,httpFlood
tcp,446,721,httpFlood
tcp,66,281,httpFlood
tcp,374,174,httpFlood
tcp,374,99,httpFlood
tcp,464,116,httpFlood
tcp,66,192,httpFlood
tcp,374,101,httpFlood
tcp,374,149,httpFlood
tcp,245,1039,httpFlood
tcp,377,315,httpFlood
tcp,374,397,httpFlood
tcp,66,24,httpFlood
tcp,248,201,httpFlood
tcp,374,132,httpFlood
tcp,374,182,httpFlood
tcp,374,115,httpFlood
tcp,458,685,httpFlood
tcp,377,537,httpFlood
tcp,60,116,httpFlood
tcp,60,136,httpFlood
tcp,446,492,httpFlood
tcp,374,407,httpFlood
tcp,66,81,httpFlood
tcp,377,687,httpFlood
tcp,446,657,httpFlood
tcp,374,2,httpFlood
tcp,374,130,httpFlood
tcp,66,77,httpFlood
tcp,66,43,httpFlood
tcp,374,150,httpFlood
tcp,386,65,httpFlood
tcp,374,151,httpFlood
tcp,374,226,httpFlood
tcp,66,168,httpFlood
tcp,446,767,httpFlood
tcp,60,138,httpFlood
tcp,380,922,httpFlood
tcp,374,111,httpFlood
tcp,374,145,httpFlood
tcp,464,110,httpFlood
tcp,446,364,httpFlood
tcp,374,183,httpFlood
tcp,60,158,httpFlood
tcp,377,467,httpFlood
tcp,374,100,httpFlood
tcp,374,137,httpFlood
tcp,377,860,httpFlood
tcp,60,24,httpFlood
tcp,374,91,httpFlood
tcp,446,604,httpFlood
tcp,446,617,httpFlood
tcp,60,135,httpFlood
tcp,377,921,httpFlood
tcp,248,197,httpFlood
