% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6-8,10,21,26,32,40'

@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_bpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_bpackets numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
129,129,0,-1,3735115,1995013,0,normal
81,81,0,-1,0,0,0,normal
44,44,0,-1,691489,0,0,normal
70,70,0,-1,0,0,0,normal
30,30,0,-1,0,0,0,normal
90,90,0,-1,0,0,0,normal
129,129,0,-1,0,0,0,normal
58,58,0,-1,3059034,3059034,0,normal
91,91,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
72,72,0,-1,0,0,0,normal
101,2948,140,55,14478133,1146253,324,tcpFlood
72,2948,95,53,31055564,1117647,2732,tcpFlood
103,2948,154,54,14521062,1148401,360,tcpFlood
66,2716,51,52,11890408,0,3718,tcpFlood
64,2320,27,52,17927914,0,5198,tcpFlood
83,2948,106,54,26234715,1107413,1601,tcpFlood
86,2948,121,54,27704803,1082970,1713,tcpFlood
101,1500,128,55,14549009,1144395,392,tcpFlood
116,2948,175,55,15052707,1084382,371,tcpFlood
123,2948,192,55,13081374,0,620,tcpFlood
125,2948,201,55,15187072,0,804,tcpFlood
74,2948,97,53,31104903,1100189,2821,tcpFlood
205,1500,454,60,9662884,1694895,0,tcpFlood
124,2524,196,55,11328543,0,684,tcpFlood
101,1924,132,55,6140042,0,439,tcpFlood
66,1500,44,52,12799138,0,3078,tcpFlood
66,2284,47,52,12788291,0,2984,tcpFlood
66,1840,44,52,5361896,0,1341,tcpFlood
79,2332,107,53,18498229,1168140,1326,tcpFlood
66,2776,52,52,11379040,0,3585,tcpFlood
76,2948,94,53,18662041,1145860,1554,tcpFlood
105,1552,124,56,4796124,0,311,tcpFlood
63,76,0,52,14030160,0,5590,tcpFlood
97,2948,125,55,14531131,1148078,365,tcpFlood
99,2948,163,55,17658750,1082243,653,tcpFlood
119,2948,196,55,14795306,0,846,tcpFlood
87,1500,94,54,2318839,0,225,tcpFlood
98,1500,114,55,5232088,0,376,tcpFlood
83,2948,146,53,17974003,1145527,1260,tcpFlood
126,2836,180,55,19243011,0,808,tcpFlood
107,2128,140,55,13649784,0,838,tcpFlood
124,2236,171,55,20995487,0,973,tcpFlood
