% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,946,12461,1852,0,0,0,100,0,normal
0,tcp,OTH,66,0,4955,0,0,0,43,0.11,normal
0,tcp,SF,946,12461,1842,0,0,0,100,0,normal
0,tcp,OTH,66,0,5964,0,0,0,52,0.15,normal
0,tcp,SF,946,12461,2381,0,0,0,100,0,normal
0,tcp,OTH,66,0,5686,0,0,0,47,0.12,normal
0,tcp,SF,946,12461,4011,0,0,0,94,0,normal
0,tcp,OTH,66,0,3607,0,0,0,32,0.09,normal
0,tcp,OTH,66,0,5182,0,0,0,22,0,normal
0,tcp,OTH,66,0,5961,0,0,0,39,0.03,normal
0,tcp,SF,946,12461,2077,0,0,0,100,0,normal
0,tcp,OTH,66,0,3201,0,0,0,48,0.04,normal
0,tcp,SF,946,12461,1855,0,0,0,100,0,normal
0,tcp,SF,1048,12461,2134,0,0,0,100,0,normal
0,tcp,SF,946,12461,1671,0,0,0,100,0,normal
0,tcp,SF,946,12461,1829,0,0,0,100,0,normal
0,tcp,SF,946,12461,1895,0,0,0,100,0,normal
0,tcp,OTH,146,0,3075,0,0,0,46,0.02,normal
0,tcp,OTH,146,0,5229,0,0,0,39,0.03,normal
0,tcp,OTH,66,0,3686,0,0,0,91,0.02,normal
0,tcp,SF,946,12461,1936,0,0,0,100,0,normal
0,tcp,SF,946,12461,2066,0,0,0,100,0,normal
0,tcp,OTH,66,0,2878,0,0,0,53,0.15,normal
0,tcp,OTH,66,0,3363,0,0,0,52,0.09,normal
0,tcp,OTH,66,0,2909,0,0,0,19,0.2,normal
0,tcp,OTH,66,0,3172,0,0,0,67,0.12,normal
0,tcp,OTH,66,0,2931,0,0,0,49,0.16,normal
0,tcp,SF,946,12461,2147,0,0,0,100,0,normal
0,tcp,SF,946,12461,2051,0,0,0,88,0,normal
0,tcp,SF,1024,12538,3067,0,0,0,72,0,normal
0,tcp,OTH,66,0,3906,0,0,0,51,0.13,normal
0,tcp,OTH,66,0,5189,0,0,0,40,0.02,normal
0,tcp,SF,946,12461,2440,0,0,0,100,0,normal
0,tcp,OTH,78,0,1858,0,0,0,100,0.01,normal
0,tcp,SF,946,12461,2511,0,0,0,100,0,normal
0,tcp,OTH,66,0,6237,0,0,0,47,0.08,normal
0,tcp,OTH,78,0,5707,0,0,0,46,0.02,normal
0,tcp,OTH,66,0,3207,0,0,0,48,0.04,normal
0,tcp,SF,946,12395,2612,0,0,0,100,0,normal
0,tcp,S3,286,206,2762,0.4,0,0,100,0,normal
0,tcp,OTH,66,0,4310,0,0,0,48,0,normal
0,tcp,SF,946,12461,280,0,0,0,100,0,normal
0,tcp,SF,946,12461,642,0,0,0,100,0,normal
0,tcp,OTH,66,0,3156,0,0,0,52,0,normal
0,tcp,SF,946,12461,2282,0,0,0,100,0,normal
0,tcp,SF,946,12461,2125,0,0,0,100,0,normal
0,tcp,S3,814,12472,2126,0.22,0,0,100,0,normal
0,tcp,SF,946,12461,590,0,0,0,100,0,normal
0,tcp,SF,946,12461,1925,0,0,0,86,0,normal
0,tcp,OTH,66,0,5092,0,0,0,69,0,normal
0,tcp,OTH,66,0,4840,0,0,0,57,0,normal
