% isAttack normal:	1000
% isAttack attack:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-10,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,2740,2740,0,0,56,0.05,0,normal
tcp,OTH,66,1449,1449,0,0,50,0.02,0,normal
tcp,SF,946,2153,2153,0,0,100,0,0,normal
tcp,S2,1024,3266,3266,0.47,0,100,0,0,normal
tcp,S2,946,3582,3582,0.49,0,100,0,0,normal
tcp,OTH,66,2973,2973,0,0,63,0,0,normal
tcp,SF,880,4460,4460,0,0,60,0,0,normal
tcp,OTH,66,5465,5465,0,0,100,0.03,0,normal
tcp,OTH,66,1492,1492,0,0,67,0.01,0,normal
tcp,OTH,66,2863,2863,0,0,49,0.12,0,normal
tcp,OTH,66,2849,2849,0,0,50,0.1,0,normal
tcp,SF,946,1126,1126,0,0,100,0,0,normal
tcp,SF,946,2177,2177,0,0,100,0,0,normal
tcp,SF,946,2039,2039,0,0,100,0,0,normal
tcp,OTH,66,4082,4082,0,0,99,0.05,0,normal
tcp,SF,946,1536,1536,0,0,100,0,0,normal
tcp,SF,946,2251,2251,0,0,100,0,0,normal
tcp,OTH,66,3186,3186,0,0,44,0.16,0,normal
tcp,SF,946,1910,1910,0,0,100,0,0,normal
tcp,OTH,66,3877,3877,0,0,54,0.15,0,normal
tcp,SF,946,1892,1892,0,0,99,0,0,normal
tcp,SF,1092,2242,2242,0,0,100,0,0,normal
tcp,SF,946,3358,3358,0,0,100,0,0,normal
tcp,OTH,66,4879,4879,0,0,50,0.14,0,normal
tcp,SF,946,1150,1150,0,0,100,0,0,normal
tcp,SF,946,1917,1917,0,0,85,0,0,normal
tcp,S3,800,3688,3688,0.51,0,100,0,0,normal
tcp,SF,946,2978,2978,0,0,63,0,0,normal
tcp,OTH,66,2026,2026,0,0,47,0.04,0,normal
tcp,OTH,66,2129,2129,0,0,53,0.07,0,normal
tcp,SF,946,1981,1981,0,0,100,0,0,normal
tcp,OTH,78,2490,2490,0,0,55,0.02,0,normal
tcp,OTH,66,2890,2890,0,0,41,0.07,0,normal
tcp,OTH,66,5820,5820,0,0,45,0.02,0,normal
tcp,SF,946,2126,2126,0,0,100,0,0,normal
tcp,OTH,66,3648,3648,0,0,85,0,0,normal
tcp,OTH,66,3927,3927,0,0,80,0,0,normal
tcp,SF,946,3846,3846,0,0,100,0,0,normal
tcp,SF,946,2120,2120,0,0,100,0,0,normal
tcp,OTH,78,3865,3865,0,0,75,0.01,0,normal
tcp,SF,946,3909,3909,0,0,100,0,0,normal
tcp,OTH,66,2960,2960,0,0,46,0.15,0,normal
tcp,SF,946,2000,2000,0,0,86,0,0,normal
tcp,OTH,66,2242,2242,0,0,48,0.16,0,normal
tcp,SF,946,1904,1904,0,0,100,0,0,normal
tcp,SF,946,3022,3022,0,0,63,0,0,normal
tcp,OTH,66,3973,3973,0,0,97,0.01,0,normal
tcp,SF,946,3173,3173,0,0,100,0,0,normal
tcp,SF,946,2138,2138,0,0,100,0,0,normal
tcp,OTH,66,3384,3384,0,0,52,0.09,0,normal
tcp,OTH,66,4392,4392,0,0,32,0.12,0,normal
tcp,SF,946,2067,2067,0,0,47,0,0,normal
tcp,SF,880,2272,2272,0,0,100,0,0,normal
tcp,SF,880,4271,4271,0,0,66,0,0,normal
tcp,SF,946,3378,3378,0,0,100,0,0,normal
tcp,SF,946,1146,1146,0,0,100,0,0,normal
tcp,OTH,66,3081,3081,0,0,46,0,0,normal
tcp,SF,946,2842,2842,0,0,100,0,0,normal
tcp,OTH,66,4394,4394,0,0,34,0.17,0,normal
tcp,OTH,66,5659,5659,0,0,11,0,0,normal
tcp,OTH,66,5833,5833,0,0,41,0,0,normal
tcp,SF,880,3161,3161,0,0,100,0,0,normal
tcp,S1,220,3179,3179,0.45,0,100,0,0,normal
tcp,SF,946,2757,2757,0,0,48,0,0,normal
tcp,OTH,66,4010,4010,0,0,99,0.02,0,normal
tcp,SF,800,2619,2619,0,0,66,0,0,normal
tcp,S1,734,3568,3568,0.49,0,100,0,0,normal
tcp,OTH,66,3459,3459,0,0,53,0.07,0,normal
tcp,OTH,146,5762,5762,0,0,45,0.02,0,normal
tcp,SF,880,2133,2133,0,0,99,0,0,normal
tcp,S3,1012,2927,2927,0.42,0,100,0,0,normal
tcp,SF,946,3098,3098,0,0,80,0,0,normal
tcp,SF,946,1952,1952,0,0,100,0,0,normal
tcp,SF,946,3523,3523,0,0,100,0,0,normal
tcp,OTH,66,4372,4372,0,0,39,0.07,0,normal
tcp,SF,946,2253,2253,0,0,100,0,0,normal
tcp,OTH,66,3156,3156,0,0,39,0.12,0,normal
tcp,SF,946,2989,2989,0,0,65,0,0,normal
tcp,OTH,66,3266,3266,0,0,48,0.02,0,normal
tcp,SF,946,3238,3238,0,0,98,0,0,normal
tcp,SF,880,5662,5662,0,0,72,0,0,normal
tcp,SF,946,2531,2531,0,0,100,0,0,normal
tcp,SF,946,3901,3901,0,0,100,0,0,normal
tcp,OTH,66,2930,2930,0,0,47,0.04,0,normal
