% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,14-15,18-19,23-24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,OTH,78,0,1851,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,9889,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,4518,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,15195,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,6776,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,21826,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,4590,0,1,0,62,1,0,0,tcpFlood
0,tcp,OTH,78,0,7977,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,12097,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,24058,0,1,0,76,1,0,0,tcpFlood
0,tcp,OTH,78,0,20170,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,9890,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,23812,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,13,0,1,0,13,1,0,0,tcpFlood
0,tcp,OTH,78,0,20387,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,15235,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,12898,0,1,0,80,1,0,0,tcpFlood
0,tcp,OTH,78,0,8340,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,27017,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,11800,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,2718,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,11521,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,8192,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,6468,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,4590,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,20462,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,8185,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,22336,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,16674,0,1,0,76,1,0,0,tcpFlood
0,tcp,OTH,78,0,8553,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,11799,0,1,0,75,1,0,0,tcpFlood
0,tcp,OTH,78,0,12166,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,9427,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,20947,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,26959,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,14118,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,11519,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,9867,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,26628,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,9976,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,6505,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,9487,0,1,0,75,1,0,0,tcpFlood
0,tcp,OTH,78,0,16222,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,7209,0,1,0,76,1,0,0,tcpFlood
0,tcp,OTH,78,0,10115,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,10090,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,9992,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,23082,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,7251,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,8131,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,6567,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,25467,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,7644,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,6281,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,11690,0,1,0,62,1,0,0,tcpFlood
