@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,104,33,0.97,highrate
OTH,60,160,33,0.97,highrate
OTH,60,19,19,0.95,highrate
OTH,60,122,33,0.97,highrate
OTH,60,110,33,0.97,highrate
OTH,60,110,40,0.98,highrate
OTH,60,94,42,0.98,highrate
OTH,60,161,33,0.97,highrate
OTH,60,138,33,0.97,highrate
OTH,60,111,33,0.97,highrate
OTH,60,105,39,0.97,highrate
OTH,60,88,41,0.98,highrate
OTH,60,142,33,0.97,highrate
OTH,60,110,33,0.97,highrate
S3,374,114,100,0,highrate
OTH,60,143,31,0.97,highrate
OTH,66,133,37,0.03,highrate
OTH,60,67,27,0.96,highrate
S3,380,959,100,0,highrate
RSTO,446,448,100,0,highrate
S3,377,597,100,0,highrate
S3,374,13,13,0,highrate
S1,248,177,100,0,highrate
S3,386,136,100,0,highrate
OTH,60,133,33,0.97,highrate
S1,242,174,100,0,highrate
S3,374,123,100,0,highrate
S3,377,728,100,0,highrate
S3,377,563,100,0,highrate
S3,386,143,100,0,highrate
S3,374,149,100,0,highrate
S3,374,132,100,0,highrate
S3,374,228,100,0,highrate
S3,374,152,100,0,highrate
RSTO,446,652,100,0,highrate
S3,377,933,100,0,highrate
OTH,66,5,5,0,highrate
S3,374,83,83,0,highrate
OTH,60,180,33,0.97,highrate
OTH,66,319,100,0,highrate
OTH,60,141,23,0.96,highrate
S3,374,145,100,0,highrate
S3,374,100,100,0,highrate
RSTO,446,627,100,0,highrate
S3,377,646,100,0,highrate
OTH,60,174,33,0.97,highrate
S3,374,146,100,0,highrate
S3,374,157,100,0,highrate
S3,377,388,90,0,highrate
S3,374,79,79,0,highrate
S3,374,134,100,0,highrate
S3,380,895,100,0,highrate
S3,374,147,100,0,highrate
S3,374,158,100,0,highrate
S3,374,181,100,0,highrate
S3,386,335,100,0,highrate
