@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
SF,880,2057,100,normal
OTH,66,4864,45,normal
OTH,66,5530,98,normal
SF,946,3093,100,normal
SF,946,2272,100,normal
OTH,66,5882,45,normal
OTH,66,4524,47,normal
SF,946,2231,100,normal
SF,946,1405,100,normal
OTH,66,3142,98,normal
OTH,66,3299,47,normal
SF,880,786,100,normal
OTH,66,2891,53,normal
OTH,66,5828,44,normal
SF,946,1400,100,normal
SF,946,1116,100,normal
OTH,66,2653,42,normal
OTH,66,3340,46,normal
SF,1024,3212,52,normal
OTH,66,4686,52,normal
OTH,146,3084,77,normal
OTH,66,2712,48,normal
RSTR,946,2816,100,normal
OTH,66,3619,42,normal
S3,286,1891,100,normal
SF,946,3901,98,normal
OTH,66,2941,57,normal
SF,880,3088,76,normal
SF,946,3057,76,normal
OTH,66,4371,40,normal
SF,946,1836,100,normal
OTH,66,4767,31,normal
SF,946,1056,100,normal
SF,880,4193,75,normal
OTH,146,2620,41,normal
