% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,17-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,163,255,normal
tcp,SF,255,244,normal
tcp,SF,3,255,normal
tcp,SF,35,255,normal
tcp,SF,255,255,normal
tcp,SF,3,255,normal
tcp,OTH,75,75,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,57,57,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,63,63,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,62,62,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,13,13,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,80,80,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,62,62,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,61,61,tcpFlood
tcp,OTH,63,63,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,77,77,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,75,75,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,69,69,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,74,74,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,53,53,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,76,76,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,70,70,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,68,68,tcpFlood
tcp,OTH,71,71,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,65,65,tcpFlood
tcp,OTH,64,64,tcpFlood
tcp,OTH,73,73,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,66,66,tcpFlood
tcp,OTH,72,72,tcpFlood
tcp,OTH,67,67,tcpFlood
tcp,OTH,66,66,tcpFlood
