% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,1024,206,3615,0.5,1,0,100,100,normal
0,tcp,946,12461,1973,0,1,0,100,100,normal
0,tcp,946,12461,2337,0,1,0,78,78,normal
0,tcp,66,0,5109,0,1,0,42,42,normal
0,tcp,66,0,3268,0,1,0,35,35,normal
0,tcp,66,0,5784,0,1,0,41,41,normal
0,tcp,946,12461,3428,0,1,0,95,95,normal
0,tcp,946,12461,2778,0,1,0,100,100,normal
0,tcp,140,66,2986,0.44,1,0,100,100,normal
0,tcp,66,0,4679,0,1,0,32,32,normal
0,tcp,66,0,2999,0,1,0,45,45,normal
0,tcp,946,12461,2285,0,1,0,100,100,normal
0,tcp,1024,12527,2786,0,1,0,89,89,normal
0,tcp,66,0,3358,0,1,0,48,48,normal
0,tcp,946,12461,1479,0,1,0,100,100,normal
0,tcp,66,0,2905,0,1,0,49,49,normal
0,tcp,66,0,3850,0,1,0,49,49,normal
0,tcp,66,0,2766,0,1,0,47,47,normal
0,tcp,1024,12527,3017,0,1,0,55,55,normal
0,tcp,66,0,3945,0,1,0,18,18,normal
0,tcp,66,0,2142,0,1,0,52,52,normal
0,tcp,946,12461,2021,0,1,0,86,86,normal
0,tcp,66,0,4980,0,1,0,33,33,normal
0,tcp,66,0,5076,0,1,0,25,25,normal
0,tcp,946,12461,2533,0,1,0,100,100,normal
0,tcp,66,0,4883,0,1,0,48,48,normal
0,tcp,946,12461,2114,0,1,0,100,100,normal
0,tcp,78,0,5993,0,1,0,50,50,normal
0,tcp,946,12461,3098,0,1,0,85,85,normal
0,tcp,66,0,5510,0,1,0,100,100,normal
0,tcp,286,266,3342,0.47,1,0,100,100,normal
0,tcp,146,0,3316,0,1,0,47,47,normal
0,tcp,946,12461,1548,0,1,0,100,100,normal
0,tcp,66,0,3185,0,1,0,43,43,normal
0,tcp,946,12461,1943,0,1,0,100,100,normal
0,tcp,146,0,3535,0,1,0,45,45,normal
0,tcp,66,0,4059,0,1,0,37,37,normal
0,tcp,66,0,5084,0,1,0,42,42,normal
0,tcp,66,0,4937,0,1,0,59,59,normal
0,tcp,146,0,4073,0,1,0,34,34,normal
0,tcp,946,12461,2413,0,1,0,100,100,normal
0,tcp,946,12461,2251,0,1,0,100,100,normal
0,tcp,946,12461,1926,0,1,0,100,100,normal
0,tcp,66,0,5701,0,1,0,31,31,normal
0,tcp,66,0,3261,0,1,0,47,47,normal
0,tcp,66,0,3948,0,1,0,68,68,normal
0,tcp,66,0,5147,0,1,0,49,49,normal
0,tcp,946,12461,2139,0,1,0,100,100,normal
0,tcp,880,12395,2043,0,1,0,100,100,normal
0,tcp,946,12461,1950,0,1,0,99,99,normal
0,tcp,946,12461,1953,0,1,0,100,100,normal
0,tcp,946,12461,2249,0,1,0,100,100,normal
0,tcp,946,12461,2003,0,1,0,100,100,normal
0,tcp,66,0,5943,0,1,0,52,52,normal
0,tcp,66,0,3758,0,1,0,40,40,normal
0,tcp,286,12395,1757,0.09,1,0,100,100,normal
0,tcp,66,0,2956,0,1,0,42,42,normal
0,tcp,66,0,6323,0,1,0,51,51,normal
0,tcp,66,0,5023,0,1,0,46,46,normal
0,tcp,352,206,2883,0.42,1,0,100,100,normal
0,tcp,946,12461,1248,0,1,0,100,100,normal
0,tcp,946,12461,3356,0,1,0,100,100,normal
0,tcp,66,0,2477,0,1,0,52,52,normal
0,tcp,1024,12527,2784,0,1,0,89,89,normal
0,tcp,66,0,4441,0,1,0,49,49,normal
0,tcp,66,0,2520,0,1,0,48,48,normal
0,tcp,946,12461,1866,0,1,0,100,100,normal
0,tcp,946,12461,1944,0,1,0,100,100,normal
0,tcp,66,0,4742,0,1,0,52,52,normal
0,tcp,946,12461,2210,0,1,0,100,100,normal
0,tcp,946,12461,2141,0,1,0,100,100,normal
0,tcp,66,0,3065,0,1,0,40,40,normal
0,tcp,946,12461,2122,0,1,0,100,100,normal
0,tcp,66,0,5910,0,1,0,53,53,normal
0,tcp,946,12461,1144,0,1,0,100,100,normal
0,tcp,946,12461,2119,0,1,0,100,100,normal
0,tcp,946,12395,2323,0,1,0,47,47,normal
0,tcp,946,12461,2750,0,1,0,100,100,normal
0,tcp,66,0,3114,0,1,0,83,83,normal
0,tcp,946,12461,3028,0,1,0,100,100,normal
0,tcp,286,140,1665,0.05,1,0,100,100,normal
0,tcp,946,12461,2187,0,1,0,100,100,normal
0,tcp,66,0,3069,0,1,0,85,85,normal
0,tcp,66,0,3493,0,1,0,48,48,normal
0,tcp,946,12461,1583,0,1,0,100,100,normal
0,tcp,946,12461,2122,0,1,0,100,100,normal
0,tcp,946,12461,2330,0,1,0,100,100,normal
0,tcp,140,66,2264,0.26,1,0,100,100,normal
0,tcp,880,12472,2711,0,1,0,78,78,normal
0,tcp,66,0,3383,0,1,0,52,52,normal
0,tcp,946,12461,2179,0,1,0,98,98,normal
0,tcp,946,12461,2943,0,1,0,100,100,normal
0,tcp,946,12461,999,0,1,0,100,100,normal
0,tcp,146,0,3546,0,1,0,52,52,normal
