% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,17,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,60,0,135,33,0.97,0,NORMAL
tcp,OTH,60,0,47,34,0.94,0.03,NORMAL
tcp,OTH,66,0,173,28,0.97,0,NORMAL
tcp,RSTR,2274,4153,2,0,0,1,NORMAL
tcp,SF,4863,19985,0,0,0,1,NORMAL
tcp,OTH,60,0,121,14,0.93,0,NORMAL
tcp,OTH,60,0,38,38,0.9,0.07,NORMAL
tcp,OTH,66,0,0,5,0.33,0.62,NORMAL
tcp,OTH,146,0,0,8,0.15,0.85,NORMAL
tcp,OTH,66,0,20,20,0.47,0.52,NORMAL
tcp,OTH,60,0,157,15,0.94,0,NORMAL
tcp,OTH,60,0,138,32,0.97,0,NORMAL
tcp,S1,1842,4879,1,1,0,0.98,NORMAL
tcp,SF,3173,7882,0,0,0,1,NORMAL
tcp,OTH,60,0,201,39,0.97,0,NORMAL
tcp,OTH,60,0,3,31,0.82,0.16,NORMAL
tcp,OTH,66,0,109,27,0.96,0,NORMAL
tcp,OTH,168,0,71,39,0.95,0.03,NORMAL
tcp,S1,7742,59911,5,5,0,0.58,NORMAL
tcp,OTH,60,0,486,46,0.98,0,NORMAL
tcp,RSTO,1036,778,0,0,0,1,NORMAL
tcp,OTH,66,0,4,4,0.1,0.9,NORMAL
tcp,S1,6853,5955,22,22,0,0.27,NORMAL
tcp,SF,4019,126272,1,4,0,0.89,NORMAL
tcp,OTH,60,0,36,40,0.82,0.17,NORMAL
tcp,SF,1455,1307,0,2,0,1,NORMAL
tcp,OTH,66,0,473,49,0.98,0,NORMAL
tcp,SF,2155,1163,0,0,0,1,NORMAL
tcp,OTH,66,0,308,33,0.97,0,NORMAL
tcp,OTH,60,0,230,13,0.87,0.07,NORMAL
tcp,OTH,60,0,37,37,0.82,0.16,NORMAL
tcp,OTH,66,0,2,20,0.08,0.61,NORMAL
tcp,SF,2654,2086,0,0,0,1,NORMAL
tcp,OTH,60,0,317,35,0.97,0,NORMAL
tcp,SF,272,140,1,1,0,0.67,NORMAL
tcp,SF,5390,4874,3,3,0,0.96,NORMAL
tcp,SF,1158,6608,0,0,0,1,NORMAL
tcp,OTH,66,0,8,16,0.09,0.64,NORMAL
tcp,OTH,139,0,92,34,0.97,0,NORMAL
tcp,OTH,66,0,1,1,0.02,0.98,NORMAL
tcp,OTH,60,0,21,21,0.41,0.58,NORMAL
tcp,OTH,60,0,22,22,0.48,0.51,NORMAL
tcp,OTH,66,0,1,1,0.05,0.95,NORMAL
tcp,OTH,66,0,91,18,0.95,0,NORMAL
tcp,OTH,139,0,226,29,0.88,0.09,NORMAL
tcp,OTH,60,0,323,35,0.97,0,NORMAL
tcp,OTH,66,0,16,16,0.76,0.2,NORMAL
tcp,OTH,60,0,45,36,0.97,0,NORMAL
