@relation Slowrate-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S11

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {highrate,lowrate}

@data
0,tcp,http,OTH,66,0,0,0,454,454,0,0,0,0,1,0,0,89,89,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,1003,1003,0,0,0,0,1,0,0,54,54,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,private,OTH,549,0,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.67,0,0,0,0,0,lowrate
28,tcp,http,RSTO,937,887,0,0,711,711,0.64,0.64,0,0,1,0,0,100,100,1,0,0,0,0.89,0.89,0,0,lowrate
7,tcp,http,S1,296,0,0,0,451,451,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
0,tcp,http,OTH,525,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,lowrate
7,tcp,http,S1,296,0,0,0,150,150,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
30,tcp,http,RSTO,913,953,0,0,190,190,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,114,0,0,0,161,161,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,1001,869,0,0,0,0,0.87,0.13,0,51,44,0.86,0.14,0.98,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,18,18,0.89,0.89,0,0,1,0,0,100,100,1,0,0,0,0.5,0.5,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,499,499,0,0,0,0,1,0,0,84,84,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,197,197,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,429,429,0,0,0,0,1,0,0,89,89,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,554,0,0,0,284,251,0,0,0,0,0.88,0.12,0,24,8,0.33,0.67,0.89,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,18,18,0,0,0,0,1,0,0,59,59,1,0,0.03,0,0,0,0,0,lowrate
15,tcp,http,S1,370,0,0,0,392,391,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,235,235,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,524,523,0.53,0.53,0,0,1,0,0,99,99,1,0,0,0,1,1,0,0,lowrate
15,tcp,http,S1,370,0,0,0,215,214,0.06,0.06,0,0,1,0,0,99,99,1,0,0,0,0.13,0.13,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,1061,1061,0,0,0,0,1,0,0,51,51,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,26,26,0,0,0,0,1,0,0,45,45,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,962,962,0,0,0,0,1,0,0,51,51,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,private,OTH,549,0,0,0,436,436,0,0,0,0,1,0,0,52,52,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,553,553,0,0,0,0,1,0,0,94,94,1,0,0,0,0,0,0,0,lowrate
